cohort,target,group,title,coef,std_err,p
NH4,FEV1,Anthropometrics,Arm Circumference,-7.48,12.07,0.535
NH4,FEV1,Anthropometrics,Arm Length,168.72,13.58,0.0
NH4,FEV1,Anthropometrics,BMI,-43.54,11.71,0.0
NH4,FEV1,Anthropometrics,Height,328.1,14.18,0.0
NH4,FEV1,Anthropometrics,Sit Height,326.59,14.12,0.0
NH4,FEV1,Anthropometrics,Upper Leg Length,150.32,13.74,0.0
NH4,FEV1,Anthropometrics,Waist Circumference,-8.24,11.97,0.491
NH4,FEV1,Anthropometrics,Weight,57.15,12.41,0.0
NH4,FEV1,Baseline,Sex,-934.68,24.22,0.0
NH4,FEV1,Exposures,Exhaust Fumes,17.12,12.33,0.165
NH4,FEV1,Exposures,Mineral Dust,38.56,12.33,0.002
NH4,FEV1,Exposures,Organic Dust,18.68,11.98,0.119
NH4,FEV1,Exposures,Other Fumes,7.92,12.07,0.512
NH4,FEV1,Exposures,Smoke Exposure,-20.89,50.67,0.68
NH4,FEV1,Exposures,Work Air,28.8,25.4,0.257
NH4,FEV1,Race,Asian,-411.32,53.45,0.0
NH4,FEV1,Race,Black,-284.21,28.16,0.0
NH4,FEV1,Race,Hispanic,-55.31,24.66,0.025
NH4,FEV1,Race,Other,-258.72,63.5,0.0
NH4,FEV1,Sociodemographics,English Language,135.57,27.2,0.0
NH4,FEV1,Sociodemographics,Health Insurance,88.34,28.1,0.002
NH4,FEV1,Sociodemographics,High School Graduate,155.4,25.92,0.0
NH4,FEV1,Sociodemographics,Household Size,-59.34,12.57,0.0
NH4,FEV1,Sociodemographics,Immigrant,-233.95,23.55,0.0
NH4,FEV1,Sociodemographics,Income:Poverty,144.55,30.63,0.0
NH4,FEV1,Sociodemographics,Married,28.43,24.38,0.244
NH4,FEV1,Sociodemographics,Military Health,-37.99,77.74,0.625
NH4,FEV1,Sociodemographics,Private Insurance,115.14,23.48,0.0
NH4,FEV1,Sociodemographics,Veteran,87.85,45.18,0.052
NH4,FVC,Anthropometrics,Arm Circumference,-28.13,15.88,0.077
NH4,FVC,Anthropometrics,Arm Length,243.24,17.73,0.0
NH4,FVC,Anthropometrics,BMI,-82.19,15.36,0.0
NH4,FVC,Anthropometrics,Height,471.67,18.13,0.0
NH4,FVC,Anthropometrics,Sit Height,466.68,18.09,0.0
NH4,FVC,Anthropometrics,Upper Leg Length,228.78,17.89,0.0
NH4,FVC,Anthropometrics,Waist Circumference,-31.14,15.75,0.048
NH4,FVC,Anthropometrics,Weight,63.41,16.37,0.0
NH4,FVC,Baseline,Sex,-1241.64,31.89,0.0
NH4,FVC,Exposures,Exhaust Fumes,21.4,16.23,0.188
NH4,FVC,Exposures,Mineral Dust,59.16,16.22,0.0
NH4,FVC,Exposures,Organic Dust,29.53,15.77,0.061
NH4,FVC,Exposures,Other Fumes,12.14,15.9,0.445
NH4,FVC,Exposures,Smoke Exposure,-26.09,66.72,0.696
NH4,FVC,Exposures,Work Air,48.58,33.44,0.146
NH4,FVC,Race,Asian,-526.01,70.45,0.0
NH4,FVC,Race,Black,-391.97,36.98,0.0
NH4,FVC,Race,Hispanic,-111.15,32.41,0.001
NH4,FVC,Race,Other,-340.17,83.62,0.0
NH4,FVC,Sociodemographics,English Language,188.2,35.8,0.0
NH4,FVC,Sociodemographics,Health Insurance,102.6,37.02,0.006
NH4,FVC,Sociodemographics,High School Graduate,210.36,34.12,0.0
NH4,FVC,Sociodemographics,Household Size,-87.33,16.53,0.0
NH4,FVC,Sociodemographics,Immigrant,-318.15,30.95,0.0
NH4,FVC,Sociodemographics,Income:Poverty,201.0,40.31,0.0
NH4,FVC,Sociodemographics,Married,40.76,32.1,0.204
NH4,FVC,Sociodemographics,Military Health,-38.6,102.37,0.706
NH4,FVC,Sociodemographics,Private Insurance,155.87,30.91,0.0
NH4,FVC,Sociodemographics,Veteran,119.4,59.49,0.045
