target,group,cov,val,index,coef,std_err,t,p,ci_lower,ci_upper
fev1,NA,age,,Intercept,5164.884532479647,9.549105857650765,540.8762463703897,0.0,5146.168471812554,5183.600593146739
fev1,NA,age,,sex[T.True],-962.6352768993686,2.6693998000135997,-360.6186217944814,0.0,-967.8672482846005,-957.4033055141367
fev1,NA,age,,age,-30.282457430942724,0.16387264644473887,-184.7926306673431,0.0,-30.603644612052396,-29.961270249833053
fev1,exposures,pm2p5,10,Intercept,5182.138537428105,9.55025484771101,542.6178274886719,0.0,5163.420224761883,5200.8568500943275
fev1,exposures,pm2p5,10,sex[T.True],-962.9947067186836,2.6632558827105783,-361.5854987762489,0.0,-968.2146361465018,-957.7747772908654
fev1,exposures,pm2p5,10,age,-30.582975137731356,0.16390435614581791,-186.5903741479765,0.0,-30.90422446925349,-30.261725806209224
fev1,exposures,pm2p5,10,pm2p5_10,-33.815180149950145,1.3054280810867633,-25.90351827103271,1.326746099024872e-147,-36.373793650290864,-31.25656664960942
fev1,exposures,work_air,work_air,Intercept,5152.167992978231,9.553596552235787,539.2909324575248,0.0,5133.443130636516,5170.892855319947
fev1,exposures,work_air,work_air,sex[T.True],-959.5349370653857,2.669377700557275,-359.4601606453322,0.0,-964.76686513642,-954.3030089943514
fev1,exposures,work_air,work_air,work_air[T.True],81.68894865691828,3.8793668228107965,21.057289085575704,2.7595390322144875e-98,74.0854655777475,89.29243173608907
fev1,exposures,work_air,work_air,age,-30.278682179033556,0.16362193014111556,-185.05271361192072,0.0,-30.59937796111168,-29.95798639695543
fev1,anthropometrics,height,,Intercept,4585.2694635387215,8.920223194068575,514.030799878153,0.0,4567.786000588088,4602.752926489355
fev1,anthropometrics,height,,sex[T.True],-484.122112294045,3.3527983901049687,-144.3934457027964,0.0,-490.6935315465722,-477.5506930415178
fev1,anthropometrics,height,,age,-25.15814894026333,0.1470804517482717,-171.05025610963938,0.0,-25.446423748298756,-24.869874132227906
fev1,anthropometrics,height,,height,331.32006805440875,1.6492584815516422,200.89032238457784,0.0,328.0875536956426,334.5525824131749
fev1,demographics,income_category,income_category,Intercept,5035.788654085413,10.02650026865067,502.2478949938842,0.0,5016.136909711121,5055.440398459706
fev1,demographics,income_category,income_category,sex[T.True],-954.0531767743071,2.663232847430818,-358.2312292725994,0.0,-959.2730610534277,-948.8332924951865
fev1,demographics,income_category,income_category,age,-28.096761186351493,0.1718289541978462,-163.5158714520284,0.0,-28.433542575023655,-27.759979797679332
fev1,demographics,income_category,income_category,income_category,55.04757237289323,1.3719180961265385,40.124532600243455,0.0,52.358639743844165,57.73650500194229
fev1,exposures,work_breath_problems,work_breath_problems,Intercept,5164.94930756963,9.550256506562802,540.8178622239466,0.0,5146.230991652092,5183.667623487168
fev1,exposures,work_breath_problems,work_breath_problems,sex[T.True],-962.6392846498782,2.6694226403480212,-360.61703759445743,0.0,-967.8713008020231,-957.4072684977332
fev1,exposures,work_breath_problems,work_breath_problems,work_breath_problems[T.True],-14.619422416443456,33.06867104225316,-0.4420928315432948,0.6584226945337481,-79.4333707241877,50.194525891300785
fev1,exposures,work_breath_problems,work_breath_problems,age,-30.28315492688163,0.16388069828660437,-184.78780749347698,0.0,-30.60435788946253,-29.961951964300727
fev1,anthropometrics,hip_circ,hip_circ,Intercept,5164.431995752025,9.547423480680537,540.9241567845387,0.0,5145.719232509791,5183.144758994258
fev1,anthropometrics,hip_circ,hip_circ,sex[T.True],-963.0295123474234,2.669383999096952,-360.7684442078077,0.0,-968.2614527634723,-957.7975719313745
fev1,anthropometrics,hip_circ,hip_circ,age,-30.270273499381556,0.16384845579287274,-184.7455525467228,0.0,-30.591413267305516,-29.949133731457596
fev1,anthropometrics,hip_circ,hip_circ,hip_circ,-9.894124595599227,1.305225814962283,-7.58039297275555,3.465557437682464e-14,-12.452341658292976,-7.335907532905476
fev1,anthropometrics,sit_height,sit_height,Intercept,4665.479321199895,9.281290789133205,502.67569750776136,0.0,4647.288172826639,4683.6704695731505
fev1,anthropometrics,sit_height,sit_height,sex[T.True],-643.6799056592488,3.1292182697104796,-205.69990655167788,0.0,-649.8131122497863,-637.5466990687113
fev1,anthropometrics,sit_height,sit_height,age,-24.872528896357963,0.15402897110842767,-161.47954970658807,0.0,-25.174422666402748,-24.570635126313178
fev1,anthropometrics,sit_height,sit_height,sit_height,253.9990144533313,1.5494323501011333,163.9303674256914,0.0,250.96215735927134,257.03587154739125
fev1,NA,work_fumes,work_fumes,Intercept,5159.892163125989,9.56008002946731,539.7331557080595,0.0,5141.154593295739,5178.629732956239
fev1,NA,work_fumes,work_fumes,sex[T.True],-960.5022216329642,2.677695173683172,-358.70484104125734,0.0,-965.7504517886074,-955.2539914773209
fev1,NA,work_fumes,work_fumes,work_fumes[T.True],66.26730215977643,6.87003890462426,9.645840886748335,5.198036346300047e-22,52.80216030791417,79.73244401163869
fev1,NA,work_fumes,work_fumes,age,-30.26125076619996,0.16383512192102787,-184.70551620052842,0.0,-30.58236439999596,-29.94013713240396
fev1,exposures,work_exhaust,work_exhaust,Intercept,5160.81800793127,9.558522708080536,539.9179523388528,0.0,5142.083490420471,5179.552525442068
fev1,exposures,work_exhaust,work_exhaust,sex[T.True],-960.2084786106388,2.6837435060891273,-357.7869779403391,0.0,-965.4685633794719,-954.9483938418058
fev1,exposures,work_exhaust,work_exhaust,work_exhaust[T.True],86.63527786646762,10.119671668460445,8.561075962225154,1.1289341967313632e-17,66.80091937129632,106.46963636163892
