group,target,index,cov,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars,fraction
baseline,fev1,black,Baseline,-499.94,29.35,-17.03,0.0,-557.52,-442.36,200705.79,314907385.88,0,-0.0
anthropometrics,fev1,black,Height,-509.39,25.66,-19.85,0.0,-559.71,-459.06,153169.7,240323251.59,8,-1.890226827219264
anthropometrics,fev1,black,Sit Height,-429.3,28.22,-15.21,0.0,-484.65,-373.96,149202.64,234098939.39,9,14.129695563467612
anthropometrics,fev1,black,Waist Circumference,-396.44,28.42,-13.95,0.0,-452.17,-340.7,145742.68,228670263.35,10,20.702484298115774
demographics,fev1,black,Poverty Ratio,-377.93,29.09,-12.99,0.0,-435.0,-320.86,144995.98,227498695.12,11,24.404928591430973
anthropometrics,fev1,black,Arm Length,-385.36,29.17,-13.21,0.0,-442.58,-328.15,144331.55,226456209.73,12,22.91875025003
demographics,fev1,black,Immigrant,-385.38,29.16,-13.22,0.0,-442.58,-328.18,144150.51,226172143.8,13,22.914749769972396
demographics,fev1,black,Health Insurance,-381.55,29.28,-13.03,0.0,-438.99,-324.11,143971.58,225891415.9,14,23.680841701004116
anthropometrics,fev1,black,Arm Circumference,-375.48,29.72,-12.63,0.0,-433.78,-317.19,143840.91,225686393.86,15,24.894987398487814
anthropometrics,fev1,black,BMI,-382.16,29.99,-12.74,0.0,-440.99,-323.33,143600.21,225308724.85,16,23.558827059247104
demographics,fev1,black,Married,-379.19,30.14,-12.58,0.0,-438.32,-320.07,143510.68,225168252.83,17,24.152898347801738
demographics,fev1,black,Household Size,-377.58,30.19,-12.51,0.0,-436.8,-318.36,143425.51,225034619.3,18,24.474936992439098
demographics,fev1,black,English Language,-375.09,30.3,-12.38,0.0,-434.52,-315.67,143335.93,224894069.75,19,24.972996759611156
anthropometrics,fev1,black,Weight,-374.45,30.31,-12.35,0.0,-433.9,-314.99,143280.51,224807115.35,20,25.101012121454573
demographics,fev1,black,Private Insurance,-377.21,30.54,-12.35,0.0,-437.12,-317.3,143229.4,224726932.8,21,24.548945873504824
exposures,fev1,black,Smoke Exposure,-375.87,30.63,-12.27,0.0,-435.95,-315.8,143195.04,224673023.38,22,24.816978037364485
demographics,fev1,black,Veteran,-375.6,30.64,-12.26,0.0,-435.7,-315.51,143158.74,224616063.18,23,24.870984518142173
demographics,fev1,black,HS Graduate,-375.22,30.67,-12.24,0.0,-435.37,-315.07,143147.57,224598535.88,24,24.9469936392367
anthropometrics,fev1,black,Leg Length,-376.15,30.88,-12.18,0.0,-436.73,-315.57,143141.32,224588725.35,25,24.760971316557992
demographics,fev1,black,Military Health,-376.12,30.9,-12.17,0.0,-436.73,-315.51,143140.73,224587813.12,26,24.766972036644397
baseline,fev1,hispanic,Baseline,-264.45,28.11,-9.41,0.0,-319.58,-209.31,200705.79,314907385.88,0,-0.0
anthropometrics,fev1,hispanic,Height,-39.08,26.61,-1.47,0.14,-91.28,13.12,153169.7,240323251.59,8,85.22215919833617
anthropometrics,fev1,hispanic,Sit Height,-32.43,26.29,-1.23,0.22,-84.01,19.15,149202.64,234098939.39,9,87.73681225184345
anthropometrics,fev1,hispanic,Waist Circumference,-9.65,26.26,-0.37,0.71,-61.17,41.87,145742.68,228670263.35,10,96.35091699754207
demographics,fev1,hispanic,Poverty Ratio,15.11,27.62,0.55,0.58,-39.08,69.29,144995.98,227498695.12,11,105.71374550954812
anthropometrics,fev1,hispanic,Arm Length,16.56,27.58,0.6,0.55,-37.52,70.65,144331.55,226456209.73,12,106.2620533182076
demographics,fev1,hispanic,Immigrant,28.77,28.92,0.99,0.32,-27.95,85.48,144150.51,226172143.8,13,110.87918321043675
demographics,fev1,hispanic,Health Insurance,26.63,28.95,0.92,0.36,-30.15,83.41,143971.58,225891415.9,14,110.06995651351863
anthropometrics,fev1,hispanic,Arm Circumference,24.92,28.98,0.86,0.39,-31.92,81.76,143840.91,225686393.86,15,109.42333144261676
anthropometrics,fev1,hispanic,BMI,26.42,28.98,0.91,0.36,-30.43,83.26,143600.21,225308724.85,16,109.99054641709208
demographics,fev1,hispanic,Married,25.45,29.0,0.88,0.38,-31.43,82.33,143510.68,225168252.83,17,109.62374740026469
demographics,fev1,hispanic,Household Size,28.25,29.14,0.97,0.33,-28.91,85.42,143425.51,225034619.3,18,110.68254868595199
demographics,fev1,hispanic,English Language,15.86,31.75,0.5,0.62,-46.42,78.13,143335.93,224894069.75,19,105.99735299678579
anthropometrics,fev1,hispanic,Weight,15.78,31.75,0.5,0.62,-46.5,78.06,143280.51,224807115.35,20,105.96710153148042
demographics,fev1,hispanic,Private Insurance,13.58,31.9,0.43,0.67,-48.99,76.14,143229.4,224726932.8,21,105.13518623558328
exposures,fev1,hispanic,Smoke Exposure,12.96,31.92,0.41,0.68,-49.64,75.57,143195.04,224673023.38,22,104.9007373794668
demographics,fev1,hispanic,Veteran,11.92,31.97,0.37,0.71,-50.79,74.63,143158.74,224616063.18,23,104.50746833049726
demographics,fev1,hispanic,HS Graduate,12.78,32.07,0.4,0.69,-50.13,75.69,143147.57,224598535.88,24,104.83267158252977
anthropometrics,fev1,hispanic,Leg Length,13.23,32.13,0.41,0.68,-49.79,76.26,143141.32,224588725.35,25,105.00283607487238
demographics,fev1,hispanic,Military Health,13.18,32.15,0.41,0.68,-49.88,76.24,143140.73,224587813.12,26,104.98392890905653
baseline,fev1,other,Baseline,-494.1,51.9,-9.52,0.0,-595.9,-392.3,200705.79,314907385.88,0,-0.0
anthropometrics,fev1,other,Height,-296.45,46.23,-6.41,0.0,-387.14,-205.76,153169.7,240323251.59,8,40.00202388180531
anthropometrics,fev1,other,Sit Height,-280.45,45.71,-6.13,0.0,-370.12,-190.78,149202.64,234098939.39,9,43.24023477028942
anthropometrics,fev1,other,Waist Circumference,-293.11,45.24,-6.48,0.0,-381.86,-204.37,145742.68,228670263.35,10,40.67800040477636
demographics,fev1,other,Poverty Ratio,-273.6,45.66,-5.99,0.0,-363.17,-184.03,144995.98,227498695.12,11,44.626593806921676
anthropometrics,fev1,other,Arm Length,-269.4,45.6,-5.91,0.0,-358.85,-179.95,144331.55,226456209.73,12,45.47662416514876
demographics,fev1,other,Immigrant,-237.54,50.97,-4.66,0.0,-337.51,-137.57,144150.51,226172143.8,13,51.924711596842755
demographics,fev1,other,Health Insurance,-236.24,50.96,-4.64,0.0,-336.2,-136.29,143971.58,225891415.9,14,52.187816231532075
anthropometrics,fev1,other,Arm Circumference,-239.03,51.01,-4.69,0.0,-339.08,-138.98,143840.91,225686393.86,15,51.62315320785267
anthropometrics,fev1,other,BMI,-239.55,50.98,-4.7,0.0,-339.55,-139.55,143600.21,225308724.85,16,51.51791135397693
demographics,fev1,other,Married,-239.39,50.98,-4.7,0.0,-339.39,-139.39,143510.68,225168252.83,17,51.550293462861774
demographics,fev1,other,Household Size,-239.47,50.98,-4.7,0.0,-339.48,-139.47,143425.51,225034619.3,18,51.53410240841935
demographics,fev1,other,English Language,-245.4,51.34,-4.78,0.0,-346.1,-144.7,143335.93,224894069.75,19,50.33394049787492
anthropometrics,fev1,other,Weight,-243.12,51.43,-4.73,0.0,-343.99,-142.24,143280.51,224807115.35,20,50.79538554948391
demographics,fev1,other,Private Insurance,-246.41,51.63,-4.77,0.0,-347.67,-145.14,143229.4,224726932.8,21,50.12952843553937
exposures,fev1,other,Smoke Exposure,-245.31,51.67,-4.75,0.0,-346.66,-143.96,143195.04,224673023.38,22,50.35215543412265
demographics,fev1,other,Veteran,-245.82,51.69,-4.76,0.0,-347.21,-144.44,143158.74,224616063.18,23,50.24893746205222
demographics,fev1,other,HS Graduate,-246.85,51.78,-4.77,0.0,-348.42,-145.27,143147.57,224598535.88,24,50.040477636106054
anthropometrics,fev1,other,Leg Length,-246.28,51.85,-4.75,0.0,-347.98,-144.59,143141.32,224588725.35,25,50.1558388990083
demographics,fev1,other,Military Health,-246.2,51.87,-4.75,0.0,-347.95,-144.45,143140.73,224587813.12,26,50.172029953450725
baseline,fvc,black,Baseline,-694.67,39.01,-17.81,0.0,-771.18,-618.16,354362.95,555995463.27,0,-0.0
anthropometrics,fvc,black,Height,-707.62,33.75,-20.97,0.0,-773.81,-641.42,265042.25,415851284.22,8,-1.864194509623281
anthropometrics,fvc,black,Sit Height,-599.0,37.09,-16.15,0.0,-671.74,-526.25,257744.38,404400935.5,9,13.772006852174409
anthropometrics,fvc,black,Waist Circumference,-554.08,37.31,-14.85,0.0,-627.26,-480.89,251282.15,394261690.66,10,20.238386572041392
demographics,fvc,black,Poverty Ratio,-522.91,38.14,-13.71,0.0,-597.72,-448.1,249163.56,390937626.12,11,24.725409187096034
anthropometrics,fvc,black,Arm Length,-534.28,38.21,-13.98,0.0,-609.22,-459.34,247608.07,388497056.86,12,23.088660802971194
anthropometrics,fvc,black,Arm Circumference,-525.65,38.8,-13.55,0.0,-601.75,-449.54,247351.93,388095173.07,13,24.330977298573426
demographics,fvc,black,English Language,-521.04,38.98,-13.37,0.0,-597.49,-444.59,247113.32,387720800.91,14,24.994601753350512
demographics,fvc,black,Immigrant,-519.56,38.99,-13.33,0.0,-596.03,-443.08,246875.86,387348218.22,15,25.207652554450316
anthropometrics,fvc,black,BMI,-525.46,39.33,-13.36,0.0,-602.6,-448.32,246669.73,387024813.14,16,24.35832841493082
anthropometrics,fvc,black,Weight,-523.96,39.33,-13.32,0.0,-601.11,-446.81,246372.28,386558113.61,17,24.57425828091035
demographics,fvc,black,Health Insurance,-520.84,39.45,-13.2,0.0,-598.21,-443.47,246201.55,386290227.97,18,25.023392402147774
demographics,fvc,black,Veteran,-520.41,39.45,-13.19,0.0,-597.78,-443.04,246018.73,386003394.27,19,25.085292297061915
anthropometrics,fvc,black,Leg Length,-524.73,39.67,-13.23,0.0,-602.54,-446.92,245851.91,385741640.61,20,24.46341428304086
demographics,fvc,black,Married,-521.43,39.87,-13.08,0.0,-599.63,-443.22,245742.19,385569490.68,21,24.938459988195834
demographics,fvc,black,Private Insurance,-523.74,40.23,-13.02,0.0,-602.64,-444.83,245711.64,385521565.48,22,24.605927994587354
exposures,fvc,black,Smoke Exposure,-522.7,40.35,-12.95,0.0,-601.86,-443.55,245693.12,385492503.57,23,24.755639368333156
demographics,fvc,black,Military Health,-522.76,40.37,-12.95,0.0,-601.95,-443.58,245691.06,385489270.18,24,24.747002173693982
demographics,fvc,black,HS Graduate,-522.73,40.42,-12.93,0.0,-602.0,-443.45,245690.99,385489156.16,25,24.751320771013567
demographics,fvc,black,Household Size,-522.7,40.48,-12.91,0.0,-602.1,-443.3,245690.96,385489110.25,26,24.755639368333156
baseline,fvc,hispanic,Baseline,-391.81,37.35,-10.49,0.0,-465.07,-318.54,354362.95,555995463.27,0,-0.0
anthropometrics,fvc,hispanic,Height,-82.88,35.01,-2.37,0.02,-151.55,-14.22,265042.25,415851284.22,8,78.84689007427069
anthropometrics,fvc,hispanic,Sit Height,-73.86,34.56,-2.14,0.03,-141.65,-6.07,257744.38,404400935.5,9,81.14902631377453
anthropometrics,fvc,hispanic,Waist Circumference,-42.73,34.49,-1.24,0.22,-110.37,24.92,251282.15,394261690.66,10,89.09420382328169
demographics,fvc,hispanic,Poverty Ratio,-1.03,36.21,-0.03,0.98,-72.06,70.0,249163.56,390937626.12,11,99.73711748041143
anthropometrics,fvc,hispanic,Arm Length,1.2,36.12,0.03,0.97,-69.64,72.05,247608.07,388497056.86,12,100.30627089660805
anthropometrics,fvc,hispanic,Arm Circumference,-0.79,36.14,-0.02,0.98,-71.69,70.11,247351.93,388095173.07,13,99.79837165973304
demographics,fvc,hispanic,English Language,-25.14,41.24,-0.61,0.54,-106.03,55.75,247113.32,387720800.91,14,93.58362471606135
demographics,fvc,hispanic,Immigrant,-19.54,41.49,-0.47,0.64,-100.92,61.84,246875.86,387348218.22,15,95.01288890023226
anthropometrics,fvc,hispanic,BMI,-18.85,41.49,-0.45,0.65,-100.23,62.53,246669.73,387024813.14,16,95.18899466578188
anthropometrics,fvc,hispanic,Weight,-19.11,41.48,-0.46,0.65,-100.47,62.25,246372.28,386558113.61,17,95.1226359715168
demographics,fvc,hispanic,Health Insurance,-18.42,41.48,-0.44,0.66,-99.79,62.95,246201.55,386290227.97,18,95.29874173706644
demographics,fvc,hispanic,Veteran,-20.64,41.53,-0.5,0.62,-102.1,60.82,246018.73,386003394.27,19,94.73214057834154
anthropometrics,fvc,hispanic,Leg Length,-17.88,41.62,-0.43,0.67,-99.52,63.75,245851.91,385741640.61,20,95.43656364054006
demographics,fvc,hispanic,Married,-18.8,41.64,-0.45,0.65,-100.47,62.87,245742.19,385569490.68,21,95.20175595314055
demographics,fvc,hispanic,Private Insurance,-20.47,41.82,-0.49,0.62,-102.5,61.56,245711.64,385521565.48,22,94.77552895536101
exposures,fvc,hispanic,Smoke Exposure,-20.86,41.85,-0.5,0.62,-102.95,61.22,245693.12,385492503.57,23,94.6759909139634
demographics,fvc,hispanic,Military Health,-20.75,41.87,-0.5,0.62,-102.89,61.39,245691.06,385489270.18,24,94.70406574615247
demographics,fvc,hispanic,HS Graduate,-20.68,42.0,-0.49,0.62,-103.07,61.71,245690.99,385489156.16,25,94.7219315484546
demographics,fvc,hispanic,Household Size,-20.64,42.12,-0.49,0.62,-103.26,61.97,245690.96,385489110.25,26,94.73214057834154
baseline,fvc,other,Baseline,-682.21,68.96,-9.89,0.0,-817.48,-546.94,354362.95,555995463.27,0,-0.0
anthropometrics,fvc,other,Height,-411.28,60.82,-6.76,0.0,-530.57,-291.99,265042.25,415851284.22,8,39.713577930549256
anthropometrics,fvc,other,Sit Height,-389.58,60.08,-6.48,0.0,-507.43,-271.73,257744.38,404400935.5,9,42.894416675217315
anthropometrics,fvc,other,Waist Circumference,-406.89,59.41,-6.85,0.0,-523.42,-290.36,251282.15,394261690.66,10,40.357074801014356
demographics,fvc,other,Poverty Ratio,-374.01,59.86,-6.25,0.0,-491.43,-256.6,249163.56,390937626.12,11,45.1767051201243
anthropometrics,fvc,other,Arm Length,-367.59,59.73,-6.15,0.0,-484.75,-250.44,247608.07,388497056.86,12,46.11776432476804
anthropometrics,fvc,other,Arm Circumference,-370.2,59.75,-6.2,0.0,-487.4,-253.0,247351.93,388095173.07,13,45.73518418082409
demographics,fvc,other,English Language,-392.14,62.37,-6.29,0.0,-514.47,-269.81,247113.32,387720800.91,14,42.51916565280486
demographics,fvc,other,Immigrant,-361.4,67.23,-5.38,0.0,-493.28,-229.52,246875.86,387348218.22,15,47.0251095703669
anthropometrics,fvc,other,BMI,-362.11,67.23,-5.39,0.0,-493.98,-230.23,246669.73,387024813.14,16,46.9210360446197
anthropometrics,fvc,other,Weight,-356.84,67.32,-5.3,0.0,-488.89,-224.78,246372.28,386558113.61,17,47.69352545403909
demographics,fvc,other,Health Insurance,-354.15,67.37,-5.26,0.0,-486.3,-222.0,246201.55,386290227.97,18,48.087832192433424
