target,group,cov,val,index,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars
fev1,baseline,baseline,,Intercept,5380.88399749792,100.06882624572802,53.771830842551054,0.0,5184.60060776322,5577.16738723262,200705.79086998932,314907385.87501323,0
fev1,baseline,baseline,,sex[T.True],-1141.5436607506467,117.34722483852293,-9.727913568654747,9.363432150003776e-22,-1371.7183508255046,-911.3689706757888,200705.79086998932,314907385.87501323,0
fev1,baseline,baseline,,race_1[T.True],-499.94193466516805,29.354964488026575,-17.030916009763406,8.587584379849617e-60,-557.5212243542742,-442.362644976062,200705.79086998932,314907385.87501323,0
fev1,baseline,baseline,,race_2[T.True],-3.8783462628719493e-13,1.5524152758819302e-14,-24.982659750424403,3.580699212859558e-116,-4.18285001699592e-13,-3.573842508747979e-13,200705.79086998932,314907385.87501323,0
fev1,baseline,baseline,,race_3[T.True],-264.446542649547,28.109622625180013,-9.407687402130447,1.745019265813536e-20,-319.58311434755956,-209.3099709515344,200705.79086998932,314907385.87501323,0
fev1,baseline,baseline,,race_4[T.True],-494.09802795580725,51.90004981566469,-9.520184079027157,6.305598397087403e-21,-595.8991391250646,-392.29691678654996,200705.79086998932,314907385.87501323,0
fev1,baseline,baseline,,age,-30.542951232874696,1.7208937266798168,-17.74830761444074,2.3993222002553655e-64,-33.91845653975656,-27.167445925992826,200705.79086998932,314907385.87501323,0
fev1,baseline,baseline,,sex[T.True]:age,1.978235839274441,2.060350594303427,0.9601452513683731,0.33713071397614014,-2.0631086419599907,6.019580320508872,200705.79086998932,314907385.87501323,0
fev1,anthropometrics,height,,Intercept,-1064.7548239880914,305.6234495979524,-3.4838780381177434,0.0005078568595063068,-1664.2305920257888,-465.27905595039397,153169.69508919175,240323251.59494185,8
fev1,anthropometrics,height,,sex[T.True],-755.2395628496315,104.03702685301818,-7.259334351380703,6.109630068766112e-13,-959.3066154894609,-551.1725102098021,153169.69508919175,240323251.59494185,8
fev1,anthropometrics,height,,race_1[T.True],-509.3870382634379,25.655935335669383,-19.85454950672714,2.1257442404323322e-78,-559.710766891946,-459.06330963492974,153169.69508919175,240323251.59494185,8
fev1,anthropometrics,height,,race_2[T.True],1.5442058265975954e-11,4.393299601114901e-12,3.5149112667065037,0.00045246623132466765,6.824667630333741e-12,2.4059448901618166e-11,153169.69508919175,240323251.59494185,8
fev1,anthropometrics,height,,race_3[T.True],-39.08120371787207,26.612640419898337,-1.4685203385024117,0.14216441071998717,-91.28149488079373,13.11908744504958,153169.69508919175,240323251.59494185,8
fev1,anthropometrics,height,,race_4[T.True],-296.4482434431719,46.23420325905298,-6.4118817357391205,1.8996962535419843e-10,-387.1359329669718,-205.76055391937206,153169.69508919175,240323251.59494185,8
fev1,anthropometrics,height,,age,-26.833957785463472,1.5132447046807271,-17.732728687211928,3.046271150611955e-64,-29.80216435718046,-23.865751213746485,153169.69508919175,240323251.59494185,8
