group,target,index,cov,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars,fraction
baseline,fev1,asian,Baseline,-662.0,49.57,-13.35,0.0,-759.19,-564.81,203777.77,685304647.95,0,-0.0
anthropometrics,fev1,asian,Height,-398.91,43.86,-9.1,0.0,-484.91,-312.92,154165.67,518459163.68,8,39.741691842900295
anthropometrics,fev1,asian,Waist Circumference,-434.98,43.39,-10.02,0.0,-520.06,-349.9,149798.19,503771326.07,9,34.29305135951662
anthropometrics,fev1,asian,Sit Height,-392.05,43.46,-9.02,0.0,-477.26,-306.83,147466.35,495929330.05,10,40.77794561933535
demographics,fev1,asian,Immigrant,-341.05,46.11,-7.4,0.0,-431.45,-250.64,146995.95,494347370.92,11,48.48187311178248
demographics,fev1,asian,Poverty Ratio,-337.87,46.1,-7.33,0.0,-428.26,-247.49,146751.17,493524188.96,12,48.96223564954683
demographics,fev1,asian,English Language,-337.23,46.07,-7.32,0.0,-427.55,-246.91,146500.67,492681742.91,13,49.05891238670695
anthropometrics,fev1,asian,Leg Length,-343.89,46.15,-7.45,0.0,-434.38,-253.4,146307.67,492032697.93,14,48.05287009063444
demographics,fev1,asian,Veteran,-344.83,46.14,-7.47,0.0,-435.29,-254.37,146164.62,491551607.47,15,47.91087613293051
anthropometrics,fev1,asian,Arm Circumference,-345.94,46.14,-7.5,0.0,-436.39,-255.48,146062.97,491209761.94,16,47.74320241691843
anthropometrics,fev1,asian,BMI,-344.45,46.08,-7.48,0.0,-434.8,-254.11,145657.23,489845280.94,17,47.968277945619334
anthropometrics,fev1,asian,Arm Length,-341.94,46.1,-7.42,0.0,-432.32,-251.56,145543.48,489462723.22,18,48.34743202416919
demographics,fev1,asian,Married,-342.93,46.1,-7.44,0.0,-433.31,-252.55,145467.69,489207835.98,19,48.19788519637462
demographics,fev1,asian,Military Health,-343.74,46.09,-7.46,0.0,-434.11,-253.36,145386.57,488935027.36,20,48.07552870090635
anthropometrics,fev1,asian,Weight,-340.51,46.18,-7.37,0.0,-431.06,-249.96,145331.64,488750303.49,21,48.56344410876133
demographics,fev1,asian,Health Insurance,-339.88,46.18,-7.36,0.0,-430.44,-249.33,145282.94,488586525.15,22,48.65861027190332
exposures,fev1,asian,Smoke Exposure,-341.03,46.2,-7.38,0.0,-431.62,-250.45,145243.76,488454763.44,23,48.48489425981874
demographics,fev1,asian,Household Size,-340.98,46.21,-7.38,0.0,-431.57,-250.38,145227.41,488399785.48,24,48.492447129909365
demographics,fev1,asian,HS Graduate,-340.45,46.29,-7.35,0.0,-431.2,-249.69,145225.65,488393861.59,25,48.57250755287009
demographics,fev1,asian,Private Insurance,-340.21,46.32,-7.34,0.0,-431.04,-249.38,145224.75,488390829.0,26,48.60876132930514
baseline,fev1,black,Baseline,-489.72,20.88,-23.45,0.0,-530.67,-448.78,203777.77,685304647.95,0,-0.0
anthropometrics,fev1,black,Height,-488.35,18.17,-26.88,0.0,-523.97,-452.74,154165.67,518459163.68,8,0.2797516948460354
anthropometrics,fev1,black,Waist Circumference,-471.39,17.99,-26.2,0.0,-506.67,-436.11,149798.19,503771326.07,9,3.7429551580495057
anthropometrics,fev1,black,Sit Height,-380.74,21.77,-17.49,0.0,-423.41,-338.06,147466.35,495929330.05,10,22.253532630891122
demographics,fev1,black,Immigrant,-378.6,21.75,-17.41,0.0,-421.24,-335.97,146995.95,494347370.92,11,22.69051703013967
demographics,fev1,black,Poverty Ratio,-372.62,21.88,-17.03,0.0,-415.51,-329.72,146751.17,493524188.96,12,23.911622968226744
demographics,fev1,black,English Language,-367.48,21.97,-16.73,0.0,-410.55,-324.41,146500.67,492681742.91,13,24.961202319692884
anthropometrics,fev1,black,Leg Length,-361.4,22.15,-16.32,0.0,-404.82,-317.98,146307.67,492032697.93,14,26.20272808952055
demographics,fev1,black,Veteran,-361.2,22.14,-16.32,0.0,-404.61,-317.79,146164.62,491551607.47,15,26.24356775300172
anthropometrics,fev1,black,Arm Circumference,-352.76,22.82,-15.46,0.0,-397.49,-308.02,146062.97,491209761.94,16,27.967001551907217
anthropometrics,fev1,black,BMI,-364.1,23.09,-15.77,0.0,-409.37,-318.84,145657.23,489845280.94,17,25.651392632524708
anthropometrics,fev1,black,Arm Length,-363.75,23.08,-15.76,0.0,-409.01,-318.49,145543.48,489462723.22,18,25.722862043616768
demographics,fev1,black,Married,-361.63,23.14,-15.63,0.0,-407.0,-316.27,145467.69,489207835.98,19,26.1557624765172
demographics,fev1,black,Military Health,-361.21,23.14,-15.61,0.0,-406.58,-315.85,145386.57,488935027.36,20,26.241525769827668
anthropometrics,fev1,black,Weight,-360.04,23.16,-15.55,0.0,-405.44,-314.63,145331.64,488750303.49,21,26.480437801192515
demographics,fev1,black,Health Insurance,-359.27,23.17,-15.51,0.0,-404.7,-313.84,145282.94,488586525.15,22,26.63767050559504
exposures,fev1,black,Smoke Exposure,-357.73,23.23,-15.4,0.0,-403.27,-312.19,145243.76,488454763.44,23,26.952135914400063
demographics,fev1,black,Household Size,-356.84,23.27,-15.33,0.0,-402.47,-311.21,145227.41,488399785.48,24,27.133872416891293
demographics,fev1,black,HS Graduate,-357.16,23.33,-15.31,0.0,-402.9,-311.41,145225.65,488393861.59,25,27.06852895532141
demographics,fev1,black,Private Insurance,-357.0,23.36,-15.28,0.0,-402.8,-311.2,145224.75,488390829.0,26,27.101200686106353
baseline,fev1,hispanic,Baseline,-281.18,18.84,-14.92,0.0,-318.12,-244.24,203777.77,685304647.95,0,-0.0
anthropometrics,fev1,hispanic,Height,-39.79,17.96,-2.22,0.03,-75.01,-4.57,154165.67,518459163.68,8,85.84892239846361
anthropometrics,fev1,hispanic,Waist Circumference,-25.11,17.77,-1.41,0.16,-59.95,9.74,149798.19,503771326.07,9,91.0697773668113
anthropometrics,fev1,hispanic,Sit Height,4.75,18.11,0.26,0.79,-30.74,40.25,147466.35,495929330.05,10,101.68930933921331
demographics,fev1,hispanic,Immigrant,35.15,20.32,1.73,0.08,-4.7,74.99,146995.95,494347370.92,11,112.50088911017853
demographics,fev1,hispanic,Poverty Ratio,43.44,20.61,2.11,0.04,3.04,83.85,146751.17,493524188.96,12,115.44917846219504
demographics,fev1,hispanic,English Language,26.94,21.72,1.24,0.21,-15.64,69.53,146500.67,492681742.91,13,109.5810512838751
anthropometrics,fev1,hispanic,Leg Length,24.28,21.74,1.12,0.26,-18.35,66.92,146307.67,492032697.93,14,108.63503805391565
demographics,fev1,hispanic,Veteran,22.66,21.76,1.04,0.3,-19.99,65.32,146164.62,491551607.47,15,108.05889465822605
anthropometrics,fev1,hispanic,Arm Circumference,22.12,21.75,1.02,0.31,-20.53,64.77,146062.97,491209761.94,16,107.86684685966284
