group,target,index,cov,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars,fraction
anthropometrics,fev1,asian,Height,-398.91,43.86,-9.1,0.0,-484.91,-312.92,154165.67,518459163.68,8,-0.0
anthropometrics,fev1,asian,Waist Circumference,-434.98,43.39,-10.02,0.0,-520.06,-349.9,149798.19,503771326.07,9,-9.04213983103958
anthropometrics,fev1,asian,Sit Height,-392.05,43.46,-9.02,0.0,-477.26,-306.83,147466.35,495929330.05,10,1.7196861447444318
anthropometrics,fev1,asian,Leg Length,-399.53,43.66,-9.15,0.0,-485.12,-313.94,147329.38,495468691.91,11,-0.15542352911683027
anthropometrics,fev1,asian,BMI,-398.02,43.66,-9.12,0.0,-483.61,-312.42,147215.4,495085373.99,12,0.22310796921612472
anthropometrics,fev1,asian,Arm Circumference,-397.71,43.6,-9.12,0.0,-483.19,-312.22,146801.52,493693525.19,13,0.300819733774547
anthropometrics,fev1,asian,Arm Length,-396.73,43.61,-9.1,0.0,-482.22,-311.23,146740.21,493487337.46,14,0.5464891830237414
anthropometrics,fev1,asian,Weight,-393.62,43.7,-9.01,0.0,-479.29,-307.94,146687.09,493308679.97,15,1.3261136597227494
baseline,fev1,asian,Baseline,-662.0,49.57,-13.35,0.0,-759.19,-564.81,203777.77,685304647.95,0,-0.0
demographics,fev1,asian,Poverty Ratio,-627.79,49.37,-12.72,0.0,-724.59,-530.99,200380.9,673880968.51,8,-0.0
demographics,fev1,asian,Immigrant,-522.9,52.8,-9.9,0.0,-626.42,-419.38,198623.67,667971409.69,9,16.70781630800108
demographics,fev1,asian,HS Graduate,-529.47,52.84,-10.02,0.0,-633.07,-425.86,198305.19,666900356.88,10,15.661288010321913
demographics,fev1,asian,Household Size,-527.31,52.82,-9.98,0.0,-630.87,-423.74,198037.26,665999290.6,11,16.005352108189047
demographics,fev1,asian,Married,-529.27,52.79,-10.03,0.0,-632.78,-425.76,197716.63,664921010.4,12,15.693145797161469
demographics,fev1,asian,Veteran,-529.9,52.77,-10.04,0.0,-633.38,-426.43,197501.99,664199206.83,13,15.592793768616891
demographics,fev1,asian,Private Insurance,-527.44,52.8,-9.99,0.0,-630.96,-423.93,197387.89,663815488.79,14,15.984644546743324
demographics,fev1,asian,Health Insurance,-525.4,52.82,-9.95,0.0,-628.95,-421.84,197291.82,663492400.73,15,16.30959397250673
demographics,fev1,asian,Military Health,-526.65,52.83,-9.97,0.0,-630.23,-423.07,197229.53,663282915.38,16,16.110482804759553
demographics,fev1,asian,English Language,-527.27,52.84,-9.98,0.0,-630.86,-423.68,197182.61,663125121.99,17,16.011723665556953
exposures,fev1,asian,Smoke Exposure,-665.49,49.64,-13.41,0.0,-762.81,-568.17,203675.72,684961450.36,8,-0.0
anthropometrics,fvc,asian,Height,-498.96,56.29,-8.86,0.0,-609.32,-388.6,253912.68,853908347.28,8,-0.0
