n_vars,group,target,index,cov,fraction,coef,std_err,t,p,mse
1,baseline,fev1,asian,Baseline,0.0,-646.39,51.4,-12.57,8.416052619388928e-35,202115.15
8,0,fev1,asian,0,41.29550271507913,-379.46,45.74,-8.3,2.1051123372096313e-16,150223.97
10,sociodemographics,fev1,asian,Immigrant,43.19992574142545,-367.15,50.53,-7.27,5.500586630504446e-13,146420.51
15,sociodemographics,fev1,asian,English Language,44.592274014140074,-358.15,50.31,-7.12,1.574595100609352e-12,143672.21
16,sociodemographics,fev1,asian,Military Health,44.4623215086867,-358.99,50.28,-7.14,1.3642145781065934e-12,143429.42
17,sociodemographics,fev1,asian,Veteran,44.21169881959807,-360.61,50.28,-7.17,1.0819957343548776e-12,143259.07
20,sociodemographics,fev1,asian,Married,44.40043936323272,-359.39,50.32,-7.14,1.3354943968666824e-12,142889.44
22,exposures,fev1,asian,Work Air,44.40353347050542,-359.37,50.41,-7.13,1.4694154741087228e-12,142763.17
24,sociodemographics,fev1,asian,Income:Poverty,44.745432324138676,-357.16,50.57,-7.06,2.3530134094447505e-12,142705.82
25,exposures,fev1,asian,Smoke Exposure,44.74079116322963,-357.19,50.59,-7.06,2.3709849849649484e-12,142694.23
28,sociodemographics,fev1,asian,Health Insurance,44.76554402141122,-357.03,50.63,-7.05,2.530473397478842e-12,142676.95
29,sociodemographics,fev1,asian,Private Insurance,44.867649561410296,-356.37,50.67,-7.03,2.8870515112558787e-12,142664.93
30,sociodemographics,fev1,asian,High School Graduate,44.83825554231965,-356.56,50.7,-7.03,2.8844950661985847e-12,142662.5
1,baseline,fev1,black,Baseline,0.0,-475.3,29.58,-16.07,2.3031123078273324e-54,202115.15
8,0,fev1,black,0,3.1580054702293268,-460.29,25.58,-18.0,1.2134113982080714e-66,150223.97
10,sociodemographics,fev1,black,Immigrant,4.750683778666102,-452.72,25.41,-17.82,1.8907561818829966e-65,146420.51
15,sociodemographics,fev1,black,English Language,9.00063118030718,-432.52,26.02,-16.63,8.794226620678469e-58,143672.21
16,sociodemographics,fev1,black,Military Health,8.948032821375978,-432.77,26.0,-16.64,6.738978357295336e-58,143429.42
17,sociodemographics,fev1,black,Veteran,8.817588891226599,-433.39,26.0,-16.67,4.598617471898197e-58,143259.07
20,sociodemographics,fev1,black,Married,9.779086892488959,-428.82,26.19,-16.37,3.274948410106961e-56,142889.44
22,exposures,fev1,black,Work Air,9.164738060172523,-431.74,26.3,-16.41,1.8993051607131073e-56,142763.17
24,sociodemographics,fev1,black,Income:Poverty,8.96486429623396,-432.69,26.42,-16.38,3.264968870814245e-56,142705.82
25,exposures,fev1,black,Smoke Exposure,9.06585314538187,-432.21,26.46,-16.34,5.886091741379781e-56,142694.23
28,sociodemographics,fev1,black,Health Insurance,9.236271828318964,-431.4,26.6,-16.22,3.266489955900319e-55,142676.95
29,sociodemographics,fev1,black,Private Insurance,9.328844940037879,-430.96,26.64,-16.18,5.461770317309733e-55,142664.93
30,sociodemographics,fev1,black,High School Graduate,9.425625920471283,-430.5,26.77,-16.08,2.2367754323998453e-54,142662.5
1,baseline,fev1,hispanic,Baseline,0.0,-290.63,25.59,-11.36,6.513579940129573e-29,202115.15
8,0,fev1,hispanic,0,85.35251006434298,-42.57,24.46,-1.74,0.08200381064425319,150223.97
10,sociodemographics,fev1,hispanic,Immigrant,104.283797268004,12.45,28.96,0.43,0.6672393061306924,146420.51
15,sociodemographics,fev1,hispanic,English Language,99.80387434194681,-0.57,29.88,-0.02,0.9846781243409246,143672.21
16,sociodemographics,fev1,hispanic,Military Health,99.83140075009463,-0.49,29.87,-0.02,0.986962751361136,143429.42
17,sociodemographics,fev1,hispanic,Veteran,99.34280700547086,-1.91,29.87,-0.06,0.9491265583794217,143259.07
20,sociodemographics,fev1,hispanic,Married,100.95998348415512,2.79,29.96,0.09,0.9258904676153508,142889.44
