n_vars,group,target,index,cov,fraction,coef,std_err,t,p,mse
1,baseline,fev1,asian,Baseline,0.0,-658.64,49.74,-13.24,4.691482872939516e-39,202871.8
8,0,fev1,asian,0,38.88011660391109,-402.56,43.85,-9.18,7.389646240597771e-20,152480.13
10,sociodemographics,fev1,asian,Immigrant,43.39244503826066,-372.84,46.33,-8.05,1.1635487483615378e-15,148711.46
14,sociodemographics,fev1,asian,Married,43.275537471152674,-373.61,46.3,-8.07,9.69999932910071e-16,147329.24
15,sociodemographics,fev1,asian,Veteran,43.13889226284465,-374.51,46.28,-8.09,8.123452019633991e-16,147171.97
16,sociodemographics,fev1,asian,Military Health,43.000728774444305,-375.42,46.27,-8.11,6.820924631178862e-16,147038.04
17,sociodemographics,fev1,asian,English Language,42.97188145269039,-375.61,46.26,-8.12,6.517221148936593e-16,146935.51
18,sociodemographics,fev1,asian,Income:Poverty,43.04172233693672,-375.15,46.25,-8.11,6.962651901361594e-16,146824.55
20,sociodemographics,fev1,asian,Health Insurance,43.11308150127535,-374.68,46.26,-8.1,7.625846691278715e-16,146762.9
22,exposures,fev1,asian,Smoke Exposure,43.254281549860316,-373.75,46.34,-8.07,1.0100292449070926e-15,146732.42
24,sociodemographics,fev1,asian,Private Insurance,43.39092675816834,-372.85,46.4,-8.04,1.2764912234938998e-15,146719.98
26,sociodemographics,fev1,asian,High School Graduate,43.25579982995262,-373.74,46.66,-8.01,1.5735827767345433e-15,146718.45
1,baseline,fev1,black,Baseline,0.0,-488.94,20.85,-23.45,1.1100851731471512e-112,202871.8
8,0,fev1,black,0,0.7158342536916595,-485.44,18.1,-26.82,1.2054729254265486e-143,152480.13
10,sociodemographics,fev1,black,Immigrant,4.8001799811837795,-465.47,18.02,-25.83,2.7306369392239963e-134,148711.46
14,sociodemographics,fev1,black,Married,6.906777927762094,-455.17,18.69,-24.36,9.003931739514907e-121,147329.24
15,sociodemographics,fev1,black,Veteran,6.943592260809095,-454.99,18.68,-24.36,9.205867544640374e-121,147171.97
16,sociodemographics,fev1,black,Military Health,7.113347240970256,-454.16,18.68,-24.31,2.3269422401534585e-120,147038.04
17,sociodemographics,fev1,black,English Language,7.31991655417843,-453.15,18.69,-24.25,8.987874274634061e-120,146935.51
18,sociodemographics,fev1,black,Income:Poverty,7.812819568863254,-450.74,18.74,-24.05,5.780263585780845e-118,146824.55
20,sociodemographics,fev1,black,Health Insurance,8.234139158178916,-448.68,18.87,-23.78,1.2767632193550454e-115,146762.9
22,exposures,fev1,black,Smoke Exposure,8.424346545588415,-447.75,18.92,-23.67,1.317315805460721e-114,146732.42
24,sociodemographics,fev1,black,Private Insurance,8.31185830572258,-448.3,19.17,-23.38,4.5378806151772355e-112,146719.98
26,sociodemographics,fev1,black,High School Graduate,8.38139649036692,-447.96,19.27,-23.24,7.140102456329058e-111,146718.45
1,baseline,fev1,hispanic,Baseline,0.0,-282.56,18.83,-15.01,2.5001918615409087e-49,202871.8
8,0,fev1,hispanic,0,83.38052095130237,-46.96,17.92,-2.62,0.00883132445392401,152480.13
10,sociodemographics,fev1,hispanic,Immigrant,103.37981313703284,9.55,20.18,0.47,0.6359305512355629,148711.46
14,sociodemographics,fev1,hispanic,Married,104.36721404303509,12.34,20.2,0.61,0.5413518121040903,147329.24
15,sociodemographics,fev1,hispanic,Veteran,103.93190826727067,11.11,20.2,0.55,0.5823263389572838,147171.97
16,sociodemographics,fev1,hispanic,Military Health,103.69479048697622,10.44,20.2,0.52,0.6054489925140889,147038.04
17,sociodemographics,fev1,hispanic,English Language,99.593006795017,-1.15,21.58,-0.05,0.9573183770175471,146935.51
18,sociodemographics,fev1,hispanic,Income:Poverty,99.9504530011325,-0.14,21.58,-0.01,0.9947036275547652,146824.55
20,sociodemographics,fev1,hispanic,Health Insurance,100.44592298980747,1.26,21.7,0.06,0.9536657143214609,146762.9
22,exposures,fev1,hispanic,Smoke Exposure,100.3928369195923,1.11,21.71,0.05,0.9593145637304803,146732.42
24,sociodemographics,fev1,hispanic,Private Insurance,100.56271234428085,1.59,21.74,0.07,0.941695651155955,146719.98
26,sociodemographics,fev1,hispanic,High School Graduate,100.62641562853906,1.77,21.84,0.08,0.93529823737114,146718.45
1,baseline,fev1,other,Baseline,0.0,-496.6,39.26,-12.65,7.41771009886544e-36,202871.8
8,0,fev1,other,0,41.19814740233589,-292.01,34.62,-8.43,4.894143176271616e-17,152480.13
10,sociodemographics,fev1,other,Immigrant,48.07893677003625,-257.84,36.92,-6.98,3.4349598450360036e-12,148711.46
14,sociodemographics,fev1,other,Married,48.55215465163109,-255.49,36.79,-6.94,4.5672480043300615e-12,147329.24
15,sociodemographics,fev1,other,Veteran,48.3527990334273,-256.48,36.78,-6.97,3.734062247008778e-12,147171.97
16,sociodemographics,fev1,other,Military Health,48.63270237615788,-255.09,36.78,-6.94,4.847968168460393e-12,147038.04
17,sociodemographics,fev1,other,English Language,48.093032621828435,-257.77,36.82,-7.0,3.045283399784213e-12,146935.51
18,sociodemographics,fev1,other,Income:Poverty,48.3467579540878,-256.51,36.82,-6.97,3.870966554017346e-12,146824.55
20,sociodemographics,fev1,other,Health Insurance,48.50181232380185,-255.74,36.83,-6.94,4.5525731495908805e-12,146762.9
22,exposures,fev1,other,Smoke Exposure,48.93677003624647,-253.58,36.93,-6.87,7.787017222698794e-12,146732.42
24,sociodemographics,fev1,other,Private Insurance,49.307289569069674,-251.74,37.12,-6.78,1.4017297165291452e-11,146719.98
26,sociodemographics,fev1,other,High School Graduate,49.38783729359646,-251.34,37.27,-6.74,1.820293232595051e-11,146718.45
1,baseline,fvc,asian,Baseline,0.0,-860.08,65.27,-13.18,1.0680318490887734e-38,349363.26
8,0,fvc,asian,0,41.79960003720585,-500.57,56.21,-8.91,8.525913347868348e-19,250491.3
11,sociodemographics,fvc,asian,Immigrant,43.726165007906246,-484.0,59.18,-8.18,4.0288043008339815e-16,241875.76
14,sociodemographics,fvc,asian,English Language,41.16245000465073,-506.05,59.41,-8.52,2.4256121467431988e-17,240400.72
15,sociodemographics,fvc,asian,Veteran,40.899683750348814,-508.31,59.39,-8.56,1.7177361025158628e-17,240095.28
16,sociodemographics,fvc,asian,Income:Poverty,41.02641614733513,-507.22,59.37,-8.54,1.9573343012127667e-17,239839.43
18,sociodemographics,fvc,asian,Military Health,40.50088363873128,-511.74,59.37,-8.62,1.023939936940681e-17,239423.08
19,sociodemographics,fvc,asian,Married,40.33229467026323,-513.19,59.37,-8.64,8.273207767561095e-18,239257.17
20,sociodemographics,fvc,asian,Health Insurance,40.42996000372058,-512.35,59.36,-8.63,9.242903901182896e-18,239099.62
23,sociodemographics,fvc,asian,Private Insurance,41.25546460794345,-505.25,59.49,-8.49,3.000187496046825e-17,238857.2
25,exposures,fvc,asian,Smoke Exposure,41.28569435401358,-504.99,59.51,-8.49,3.1853053461723984e-17,238839.31
26,sociodemographics,fvc,asian,High School Graduate,41.30429727467213,-504.83,59.53,-8.48,3.344050918662988e-17,238838.08
1,baseline,fvc,black,Baseline,0.0,-685.01,27.37,-25.03,6.726799176688046e-127,349363.26
8,0,fvc,black,0,0.6642238799433519,-680.46,23.2,-29.33,1.899124544337967e-168,250491.3
11,sociodemographics,fvc,black,Immigrant,3.0992248288346183,-663.78,23.17,-28.65,1.2265156970328951e-161,241875.76
14,sociodemographics,fvc,black,English Language,5.032043327834634,-650.54,23.3,-27.92,2.3148246587759155e-154,240400.72
15,sociodemographics,fvc,black,Veteran,5.1123341265091,-649.99,23.29,-27.91,3.0661747902148775e-154,240095.28
16,sociodemographics,fvc,black,Income:Poverty,5.750281017795359,-645.62,23.4,-27.59,3.681083854414682e-151,239839.43
18,sociodemographics,fvc,black,Military Health,6.995518313601256,-637.09,23.75,-26.82,1.1542401706745277e-143,239423.08
19,sociodemographics,fvc,black,Married,7.712296170858825,-632.18,23.97,-26.38,1.989969210565426e-139,239257.17
20,sociodemographics,fvc,black,Health Insurance,7.745872323031772,-631.95,23.96,-26.37,2.263247724434143e-139,239099.62
23,sociodemographics,fvc,black,Private Insurance,7.4320082918497485,-634.1,24.37,-26.02,4.675322853608338e-136,238857.2
25,exposures,fvc,black,Smoke Exposure,7.639304535700214,-632.68,24.54,-25.78,8.603530984760044e-134,238839.31
26,sociodemographics,fvc,black,High School Graduate,7.610107881636765,-632.88,24.59,-25.74,2.2212022626252617e-133,238838.08
1,baseline,fvc,hispanic,Baseline,0.0,-418.13,24.71,-16.92,1.0213963012163578e-61,349363.26
8,0,fvc,hispanic,0,79.15959151460072,-87.14,22.97,-3.79,0.00015111306711369966,250491.3
11,sociodemographics,fvc,hispanic,Immigrant,95.26463061727215,-19.8,25.82,-0.77,0.44319105932110126,241875.76
14,sociodemographics,fvc,hispanic,English Language,89.93136105995742,-42.1,27.53,-1.53,0.12620414060513002,240400.72
15,sociodemographics,fvc,hispanic,Veteran,89.47217372587473,-44.02,27.53,-1.6,0.10986776029465192,240095.28
16,sociodemographics,fvc,hispanic,Income:Poverty,89.87635424389543,-42.33,27.53,-1.54,0.12426885024212381,239839.43
18,sociodemographics,fvc,hispanic,Military Health,89.10865041972592,-45.54,27.56,-1.65,0.09852442635505167,239423.08
19,sociodemographics,fvc,hispanic,Married,89.24975486092842,-44.95,27.56,-1.63,0.10291676030136229,239257.17
20,sociodemographics,fvc,hispanic,Health Insurance,88.92928036734988,-46.29,27.57,-1.68,0.09319769187266808,239099.62
23,sociodemographics,fvc,hispanic,Private Insurance,89.36455169444909,-44.47,27.6,-1.61,0.10727558287413388,238857.2
25,exposures,fvc,hispanic,Smoke Exposure,89.57501255590367,-43.59,27.75,-1.57,0.11630114293282603,238839.31
26,sociodemographics,fvc,hispanic,High School Graduate,89.49608973285821,-43.92,27.86,-1.58,0.11510161816852993,238838.08
1,baseline,fvc,other,Baseline,0.0,-688.4,51.52,-13.36,1.0371524190722527e-39,349363.26
8,0,fvc,other,0,41.69378268448577,-401.38,44.38,-9.04,2.4798287091755153e-19,250491.3
11,sociodemographics,fvc,other,Immigrant,45.108948285880295,-377.87,47.11,-8.02,1.4403988762869726e-15,241875.76
14,sociodemographics,fvc,other,English Language,45.67402672864613,-373.98,47.19,-7.93,3.0791051494123654e-15,240400.72
15,sociodemographics,fvc,other,Veteran,45.559267867518884,-374.77,47.17,-7.95,2.626085993834602e-15,240095.28
16,sociodemographics,fvc,other,Income:Poverty,45.816385822196395,-373.0,47.16,-7.91,3.487810832753648e-15,239839.43
18,sociodemographics,fvc,other,Military Health,45.66240557815223,-374.06,47.17,-7.93,2.9478363735981386e-15,239423.08
19,sociodemographics,fvc,other,Married,45.8047646717025,-373.08,47.16,-7.91,3.4536574217013007e-15,239257.17
20,sociodemographics,fvc,other,Health Insurance,45.80331202789076,-373.09,47.15,-7.91,3.4102905551465443e-15,239099.62
23,sociodemographics,fvc,other,Private Insurance,47.09035444509006,-364.23,47.49,-7.67,2.2404844587384962e-14,238857.2
25,exposures,fvc,other,Smoke Exposure,47.16298663567693,-363.73,47.51,-7.66,2.4967315065605558e-14,238839.31
26,sociodemographics,fvc,other,High School Graduate,47.19930273097036,-363.48,47.56,-7.64,2.753022534878038e-14,238838.08
