n_vars,group,target,index,cov,fraction,coef,std_err,t,p,mse
1,baseline,fev1,asian,Baseline,0.0,-756.14,8.28,-91.27,0.0,225987.85
1,anthropometrics,fev1,asian,Height,27.349432644748322,-549.34,7.47,-73.5,0.0,179531.44
2,anthropometrics,fev1,asian,Waist Circumference,28.523818340518947,-540.46,7.36,-73.41,0.0,174397.32
3,anthropometrics,fev1,asian,Sit Height,30.12272859523369,-528.37,7.4,-71.36,0.0,174061.68
4,sociodemographics,fev1,asian,Income Level,31.066998174941144,-521.23,7.4,-70.42,0.0,174398.62
5,exposures,fev1,asian,Work Air,31.351337053984704,-519.08,7.4,-70.12,0.0,174301.35
6,sociodemographics,fev1,asian,Immigrant,36.07665247176448,-483.35,8.57,-56.41,0.0,174218.58
7,sociodemographics,fev1,asian,High School Graduate,36.14674531171476,-482.82,8.57,-56.36,0.0,174155.38
8,exposures,fev1,asian,PM10,36.343798767424026,-481.33,8.57,-56.17,0.0,174094.73
9,anthropometrics,fev1,asian,BMI,36.568624857830564,-479.63,8.57,-55.96,0.0,173723.79
10,anthropometrics,fev1,asian,Weight,36.80403099955034,-477.85,8.57,-55.73,0.0,173837.32
11,exposures,fev1,asian,Work Exhaust,36.710133044145266,-478.56,8.58,-55.8,0.0,173962.23
12,exposures,fev1,asian,Smoke Exposure,36.703520512074476,-478.61,8.58,-55.81,0.0,173957.19
13,exposures,fev1,asian,Work Breathing Problems,36.710133044145266,-478.56,8.58,-55.8,0.0,173954.43
14,exposures,fev1,asian,PM2.5,36.65326526833655,-478.99,8.58,-55.84,0.0,173941.06
15,sociodemographics,fev1,asian,Income:Poverty,36.710133044145266,-478.56,8.58,-55.8,0.0,173954.09
16,exposures,fev1,asian,Work Fumes,36.710133044145266,-478.56,8.58,-55.8,0.0,173954.06
17,anthropometrics,fev1,asian,Hip Circumference,36.83841616631841,-477.59,8.58,-55.69,0.0,173898.34
18,sociodemographics,fev1,asian,Veteran,36.710133044145266,-478.56,8.58,-55.8,0.0,173954.06
