n_vars,group,target,index,cov,fraction,coef,std_err,t,p,mse
1,baseline,fev1,asian,Baseline,0.0,-756.14,8.28,-91.27,0.0,225987.85
10,exposures,fev1,asian,Smoke Exposure,1.6716481074933196,-743.5,8.29,-89.72,0.0,225059.43
12,exposures,fev1,asian,Work Fumes,1.839606422091143,-742.23,8.29,-89.52,0.0,225013.26
13,exposures,fev1,asian,Work Breathing Problems,1.8501864734043973,-742.15,8.29,-89.51,0.0,225004.84
14,exposures,fev1,asian,Work Exhaust,1.8501864734043973,-742.15,8.29,-89.51,0.0,225001.22
10,sociodemographics,fev1,asian,Immigrant,6.350675800777632,-708.12,9.59,-73.84,0.0,223139.69
11,sociodemographics,fev1,asian,Income:Poverty,6.371835903404125,-707.96,9.59,-73.82,0.0,223119.42
12,sociodemographics,fev1,asian,Veteran,6.371835903404125,-707.96,9.59,-73.82,0.0,223119.42
1,baseline,fvc,asian,Baseline,0.0,-1003.41,10.69,-93.89,0.0,375999.82
10,exposures,fvc,asian,Smoke Exposure,1.5517086734236192,-987.84,10.69,-92.41,0.0,374565.41
12,exposures,fvc,asian,Work Fumes,1.7839168435634465,-985.51,10.7,-92.14,0.0,374439.14
13,exposures,fvc,asian,Work Exhaust,1.7829202419748644,-985.52,10.7,-92.14,0.0,374431.94
14,exposures,fvc,asian,Work Breathing Problems,1.7908930546835207,-985.44,10.7,-92.14,0.0,374424.55
10,sociodemographics,fvc,asian,Immigrant,6.74499955152928,-935.73,12.37,-75.65,0.0,371179.28
11,sociodemographics,fvc,asian,Income:Poverty,6.764931583300944,-935.53,12.37,-75.64,0.0,371147.03
12,sociodemographics,fvc,asian,Veteran,6.764931583300944,-935.53,12.37,-75.64,0.0,371147.03
1,baseline,fev1,black,Baseline,0.0,-629.37,10.83,-58.09,0.0,225987.85
10,exposures,fev1,black,Smoke Exposure,3.0633808411586148,-610.09,10.85,-56.22,0.0,225059.43
12,exposures,fev1,black,Work Fumes,3.2445143556254603,-608.95,10.85,-56.11,0.0,225013.26
13,exposures,fev1,black,Work Breathing Problems,3.2476921365810343,-608.93,10.85,-56.11,0.0,225004.84
14,exposures,fev1,black,Work Exhaust,3.2476921365810343,-608.93,10.85,-56.11,0.0,225001.22
10,sociodemographics,fev1,black,Immigrant,7.887252331696773,-579.73,11.44,-50.67,0.0,223139.69
11,sociodemographics,fev1,black,Income:Poverty,7.865007865007865,-579.87,11.44,-50.68,0.0,223119.42
12,sociodemographics,fev1,black,Veteran,7.865007865007865,-579.87,11.44,-50.68,0.0,223119.42
1,baseline,fvc,black,Baseline,0.0,-846.18,13.97,-60.55,0.0,375999.82
10,exposures,fvc,black,Smoke Exposure,2.7783686686047875,-822.67,14.0,-58.77,0.0,374565.41
12,exposures,fvc,black,Work Fumes,3.0241792526412725,-820.59,14.0,-58.61,0.0,374439.14
13,exposures,fvc,black,Work Exhaust,3.025361034295293,-820.58,14.0,-58.61,0.0,374431.94
14,exposures,fvc,black,Work Breathing Problems,3.0277245976033473,-820.56,14.0,-58.61,0.0,374424.55
10,sociodemographics,fvc,black,Immigrant,8.073932260275585,-777.86,14.76,-52.71,0.0,371179.28
11,sociodemographics,fvc,black,Income:Poverty,8.0526601905032,-778.04,14.76,-52.72,0.0,371147.03
12,sociodemographics,fvc,black,Veteran,8.0526601905032,-778.04,14.76,-52.72,0.0,371147.03
1,baseline,fev1,other,Baseline,0.0,-315.95,9.96,-31.74,2.8729204562613665e-220,225987.85
10,exposures,fev1,other,Smoke Exposure,3.791739199240374,-303.97,9.95,-30.55,2.9677143567766975e-204,225059.43
12,exposures,fev1,other,Work Fumes,3.9848077227409324,-303.36,9.95,-30.48,1.8878803989457283e-203,225013.26
13,exposures,fev1,other,Work Breathing Problems,4.006963127077059,-303.29,9.95,-30.48,2.3310242420581404e-203,225004.84
14,exposures,fev1,other,Work Exhaust,4.000633011552456,-303.31,9.95,-30.48,2.2110762702640666e-203,225001.22
10,sociodemographics,fev1,other,Immigrant,8.653267922139571,-288.61,10.26,-28.13,1.3029537003943883e-173,223139.69
11,sociodemographics,fev1,other,Income:Poverty,8.72289919291027,-288.39,10.26,-28.11,2.338761146448272e-173,223119.42
12,sociodemographics,fev1,other,Veteran,8.72289919291027,-288.39,10.26,-28.11,2.3387611464609177e-173,223119.42
1,baseline,fvc,other,Baseline,0.0,-429.94,12.84,-33.48,8.122988156362361e-245,375999.82
10,exposures,fvc,other,Smoke Exposure,3.393496766990737,-415.35,12.84,-32.35,8.70286155734214e-229,374565.41
12,exposures,fvc,other,Work Fumes,3.6470205144903955,-414.26,12.84,-32.27,1.214344863463426e-227,374439.14
13,exposures,fvc,other,Work Exhaust,3.6423687026096725,-414.28,12.84,-32.27,1.1357574317593157e-227,374431.94
14,exposures,fvc,other,Work Breathing Problems,3.656324138251842,-414.22,12.84,-32.27,1.3409268358718146e-227,374424.55
10,sociodemographics,fvc,other,Immigrant,8.908219751593247,-391.64,13.23,-29.6,6.4460889846882066e-192,371179.28
11,sociodemographics,fvc,other,Income:Poverty,8.973345117923428,-391.36,13.23,-29.58,1.176692126535974e-191,371147.03
12,sociodemographics,fvc,other,Veteran,8.973345117923428,-391.36,13.23,-29.58,1.176692126546621e-191,371147.03
