target,group,cov,val,index,coef,std_err,t,p,ci_lower,ci_upper,mse,rss,n_vars
fev1,baseline,baseline,,Intercept,5557.989971053225,92.6343235009827,59.99925039657967,0.0,5376.306284833999,5739.673657272452,202115.15483625702,360775551.3827188,1
fev1,baseline,baseline,,sex[T.True],-1253.398258213724,114.06990612213663,-10.9879836042969,3.2102000460189756e-27,-1477.1235497438233,-1029.6729666836245,202115.15483625702,360775551.3827188,1
fev1,baseline,baseline,,race_1[T.True],-475.29735357873517,29.575870499634686,-16.070443423959606,2.3031123078273324e-54,-533.304504410458,-417.29020274701236,202115.15483625702,360775551.3827188,1
fev1,baseline,baseline,,race_2[T.True],-646.3881515572525,51.40404336704762,-12.574655790046613,8.416052619388928e-35,-747.2068948970159,-545.5694082174891,202115.15483625702,360775551.3827188,1
fev1,baseline,baseline,,race_3[T.True],-290.6273872109299,25.586968907953718,-11.358414052732455,6.513579940129573e-29,-340.8111058875655,-240.44366853429432,202115.15483625702,360775551.3827188,1
fev1,baseline,baseline,,race_4[T.True],-505.279007354701,59.74228380059613,-8.457644656524817,5.609168690720444e-17,-622.4515405349356,-388.10647417446637,202115.15483625702,360775551.3827188,1
fev1,baseline,baseline,,age,-35.69443948728781,1.6433122322779623,-21.72103315862751,5.670451263532324e-93,-38.91746754735929,-32.47141142721633,202115.15483625702,360775551.3827188,1
fev1,baseline,baseline,,sex[T.True]:age,6.168516167959902,2.0459192842390173,3.015033982757678,0.0026059020989067034,2.1558549510449554,10.18117738487485,202115.15483625702,360775551.3827188,1
fev1,,"height, df=3",,Intercept,3820.3969346391204,152.69984563003086,25.01899670478631,1.4158672360091771e-118,3520.906402753948,4119.887466524293,150223.96710828086,268149781.28828132,8
fev1,,"height, df=3",,sex[T.True],-709.8849861950416,102.20805982755873,-6.945489302827298,5.274506019302656e-12,-910.3458712366114,-509.42410115347184,150223.96710828086,268149781.28828132,8
fev1,,"height, df=3",,race_1[T.True],-460.29473214520874,25.576625712603878,-17.996695002592958,1.2134113982080714e-66,-510.4582225331077,-410.1312417573098,150223.96710828086,268149781.28828132,8
fev1,,"height, df=3",,race_2[T.True],-379.4607274656682,45.74073002791849,-8.295904486746474,2.1051123372096313e-16,-469.172118517548,-289.7493364137884,150223.96710828086,268149781.28828132,8
fev1,,"height, df=3",,race_3[T.True],-42.56932107343951,24.462835625383953,-1.7401629854090708,0.08200381064425319,-90.54833259527518,5.409690448396169,150223.96710828086,268149781.28828132,8
fev1,,"height, df=3",,race_4[T.True],-288.0796745278839,52.31149612493553,-5.507005072840267,4.183790554407742e-08,-390.6783230957705,-185.48102595999734,150223.96710828086,268149781.28828132,8
fev1,,"height, df=3",,age,-28.527861610783248,1.4530289482927234,-19.633374575436264,8.062738952394363e-78,-31.377690376315133,-25.678032845251362,150223.96710828086,268149781.28828132,8
fev1,,"height, df=3",,sex[T.True]:age,4.660562947183665,1.786194139187111,2.609214107770316,0.009151322404362722,1.1572965844171588,8.163829309950172,150223.96710828086,268149781.28828132,8
fev1,,"height, df=3",,"bs(height, df=3)[0]",810.5564515797371,291.65323801986204,2.7791786475024045,0.0055071214555812605,238.53633577535697,1382.5765673841172,150223.96710828086,268149781.28828132,8
fev1,,"height, df=3",,"bs(height, df=3)[1]",1015.8434143804088,130.40291139705099,7.790036307451505,1.1314482611455122e-14,760.0839070112861,1271.6029217495316,150223.96710828086,268149781.28828132,8
fev1,,"height, df=3",,"bs(height, df=3)[2]",2626.8620003513142,229.19993263225786,11.46100686061723,2.178814572062384e-29,2177.3316851839177,3076.392315518711,150223.96710828086,268149781.28828132,8
fev1,,"waist_circ, df=3",,Intercept,4816.390491746434,119.5446948979673,40.2894540477708,1.5409550824501805e-252,4581.9271371974355,5050.853846295433,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,sex[T.True],-744.5150743329714,99.515598953033,-7.481390678102132,1.1511147751467268e-13,-939.6953052950876,-549.3348433708552,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,race_1[T.True],-463.4435888792498,25.279349321244194,-18.332892314193476,6.984498380066177e-69,-513.0240495407095,-413.86312821779006,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,race_2[T.True],-430.4131206360968,46.03517142647471,-9.349658256916303,2.5565451656250116e-20,-520.7020349965534,-340.1242062756402,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,race_3[T.True],-38.56391055214755,24.2227136686291,-1.5920557489845477,0.1115504373319726,-86.07198866363585,8.944167559340755,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,race_4[T.True],-315.6203535577887,51.9702331265186,-6.073098667643625,1.5314717850979275e-09,-417.5497215313085,-213.6909855842689,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,age,-28.165518921984123,1.4342108297889247,-19.638339313146375,7.508907301726255e-78,-30.978440754858635,-25.35259708910961,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,sex[T.True]:age,5.370630550007636,1.7484069477807056,3.071727984623205,0.002160593189479263,1.9414749656186623,8.79978613439661,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,height,368.7557012272906,14.501205135192656,25.429314170059254,7.031582335870112e-122,340.3144458131346,397.1969566414466,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,"bs(waist_circ, df=3)[0]",172.22419265992903,230.53692971873454,0.7470568505881046,0.4551283010185927,-279.9285518463468,624.3769371662049,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,"bs(waist_circ, df=3)[1]",-526.2138966241595,150.58321154626077,-3.494505736866297,0.00048661279625125344,-821.5531833071203,-230.87460994119863,146988.48074081822,262374438.12236053,9
fev1,,"waist_circ, df=3",,"bs(waist_circ, df=3)[2]",-189.28499480626715,263.3086970885507,-0.7188710319834617,0.47231511478089216,-705.7131010806642,327.14311146812986,146988.48074081822,262374438.12236053,9
fev1,sociodemographics,immigrant,,Intercept,4758.449352212025,85.12256594857581,55.901150290590344,0.0,4591.498282640308,4925.400421783741,146420.5093525075,261360609.1942259,10
fev1,sociodemographics,immigrant,,sex[T.True],-737.531883557076,99.25318120647388,-7.430813547656544,1.669435727772391e-13,-932.1973588768249,-542.866408237327,146420.5093525075,261360609.1942259,10
fev1,sociodemographics,immigrant,,race_1[T.True],-452.72425848895443,25.41085644884116,-17.816174728325638,1.8907561818829966e-65,-502.56262526739806,-402.8858917105108,146420.5093525075,261360609.1942259,10
fev1,sociodemographics,immigrant,,race_2[T.True],-367.1485401804522,50.525820145479756,-7.266552806531707,5.500586630504446e-13,-466.244938653355,-268.05214170754937,146420.5093525075,261360609.1942259,10
fev1,sociodemographics,immigrant,,race_3[T.True],12.451489722459769,28.956160130904863,0.43001177180154887,0.6672393061306924,-44.34028870518921,69.24326815010875,146420.5093525075,261360609.1942259,10
fev1,sociodemographics,immigrant,,race_4[T.True],-268.8125855018326,54.155406432378946,-4.9637257516936,7.578390351469462e-07,-375.02769927599553,-162.59747172766964,146420.5093525075,261360609.1942259,10
fev1,sociodemographics,immigrant,,immigrant[T.True],-77.9896578768005,25.588428681226908,-3.047848652544189,0.0023388910602166876,-128.1762974521538,-27.80301830144723,146420.5093525075,261360609.1942259,10
fev1,sociodemographics,immigrant,,age,-28.12524403832361,1.430705136687716,-19.658309261010633,5.386453632135501e-78,-30.931289064692546,-25.319199011954677,146420.5093525075,261360609.1942259,10
fev1,sociodemographics,immigrant,,sex[T.True]:age,5.071700403103195,1.7461724936645058,2.9044670108505484,0.0037243194969625824,1.6469285787891073,8.496472227417282,146420.5093525075,261360609.1942259,10
fev1,sociodemographics,immigrant,,height,365.36371957298695,14.521124126592918,25.16084267222031,1.0195770940568455e-119,336.88340795053284,393.84403119544106,146420.5093525075,261360609.1942259,10
fev1,sociodemographics,immigrant,,waist_circ,-74.87871412003256,9.676131473585365,-7.7384969731387105,1.6765333537795508e-14,-93.85653135133575,-55.90089688872936,146420.5093525075,261360609.1942259,10
fev1,,"leg_len, df=3",,Intercept,4982.922001495091,156.01104376547062,31.93954659380302,3.5855575952920654e-177,4676.936855790423,5288.907147199759,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,sex[T.True],-760.053373307919,101.0614103675963,-7.5207081569842975,8.61118507840505e-14,-958.2655615613014,-561.8411850545365,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,race_1[T.True],-436.79457224012356,25.922927238250555,-16.8497395462196,3.348638006944134e-59,-487.63732334697283,-385.9518211332743,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,race_2[T.True],-373.09860938282134,50.52652296001362,-7.38421303358019,2.348838675005354e-13,-472.19650089562583,-274.00071787001684,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,race_3[T.True],8.01051180223277,28.998933795375574,0.2762347008602846,0.7824000372396405,-48.86522448216154,64.88624808662708,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,race_4[T.True],-272.6015502062135,54.09898444696701,-5.038940249857067,5.158805122079736e-07,-378.70612613203315,-166.49697428039389,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,immigrant[T.True],-82.13683409685028,25.572240896338986,-3.211952930906782,0.001342027944479975,-132.29178254026917,-31.981885653431398,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,age,-28.90004151735785,1.462601556438983,-19.759340054116443,1.0770076630053278e-78,-31.768648377187773,-26.031434657527925,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,sex[T.True]:age,5.382201701284428,1.7729196536116258,3.03578432915463,0.0024340784273198884,1.9049665938228308,8.859436808746025,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,height,400.75003998625186,18.306218335842534,21.8914705721392,3.252421134544206e-94,364.8459735201958,436.65410645230793,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,waist_circ,-84.06497040309773,10.117973545411594,-8.30847896822387,1.9032692943169776e-16,-103.9093963796513,-64.22054442654417,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,"bs(leg_len, df=3)[0]",-140.8251074569655,274.9773910962885,-0.5121334044792538,0.6086215042308913,-680.1394729615786,398.4892580476476,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,"bs(leg_len, df=3)[1]",-189.04124914112305,122.00383606863659,-1.5494697153192194,0.12144751631583517,-428.32790895034725,50.24541066810113,145587.73827243643,259874112.81629905,11
fev1,,"leg_len, df=3",,"bs(leg_len, df=3)[2]",-358.2146018138819,208.31384479812297,-1.7195909477885536,0.08568154386267246,-766.7814610208115,50.35225739304775,145587.73827243643,259874112.81629905,11
fev1,,"bmi, df=3",,Intercept,4319.872406641388,140.8390692883128,30.67240097843974,4.7081234203088195e-166,4043.6440144215107,4596.100798861265,144061.3568675743,257149522.00862014,12
fev1,,"bmi, df=3",,sex[T.True],-734.6401148191454,98.93858652005534,-7.425213363748938,1.74106723391517e-13,-928.6888743078591,-540.5913553304317,144061.3568675743,257149522.00862014,12
fev1,,"bmi, df=3",,race_1[T.True],-444.60760292821476,25.85016751052903,-17.199408968902105,1.9862324344769712e-61,-495.30766965068403,-393.9075362057455,144061.3568675743,257149522.00862014,12
