target,group,cov,val,index,coef,std_err,t,p,ci_lower,ci_upper,mse,rss,n_vars
fev1,baseline,baseline,,Intercept,5454.1006397433175,67.93029996176831,80.2896592950852,0.0,5320.911519514664,5587.289759971971,202871.80029640306,680432018.1941359,1
fev1,baseline,baseline,,sex[T.True],-1180.8829235006497,81.6392749099736,-14.464642475118128,4.828235330499757e-46,-1340.9508638377924,-1020.8149831635069,202871.80029640306,680432018.1941359,1
fev1,baseline,baseline,,race_1[T.True],-488.93866653438363,20.85399404634927,-23.44580445586048,1.1100851731471512e-112,-529.8265342730812,-448.05079879568615,202871.80029640306,680432018.1941359,1
fev1,baseline,baseline,,race_2[T.True],-658.6449168763634,49.73594460190555,-13.242835179833468,4.691482872939516e-39,-756.1608517242446,-561.1289820284821,202871.80029640306,680432018.1941359,1
fev1,baseline,baseline,,race_3[T.True],-282.55921795536324,18.826119006544133,-15.008893647020027,2.5001918615409087e-49,-319.4710854020364,-245.64735050869007,202871.80029640306,680432018.1941359,1
fev1,baseline,baseline,,race_4[T.True],-496.59852500791624,39.260376809387914,-12.648847651639704,7.41771009886544e-36,-573.5752945795322,-419.62175543630025,202871.80029640306,680432018.1941359,1
fev1,baseline,baseline,,age,-32.91953201956059,1.1880391441203408,-27.70913078283728,2.5548231357863114e-152,-35.24888855841947,-30.59017548070171,202871.80029640306,680432018.1941359,1
fev1,baseline,baseline,,sex[T.True]:age,3.8794278239923194,1.4509281331886152,2.6737560153766817,0.007537147097128497,1.0346318834009325,6.724223764583707,202871.80029640306,680432018.1941359,1
fev1,,"height, df=3",,Intercept,3844.5187313281567,116.53190626653065,32.99112538788313,6.961680307828023e-207,3616.0376687822823,4072.999793874031,152480.13006268782,511418356.23025495,8
fev1,,"height, df=3",,sex[T.True],-679.64917739333,73.20678543230294,-9.283964230635794,2.855371847795398e-20,-823.1838080110084,-536.1145467756515,152480.13006268782,511418356.23025495,8
fev1,,"height, df=3",,race_1[T.True],-485.43698758917117,18.102389687204095,-26.816182613299308,1.2054729254265486e-143,-520.9298698637641,-449.9441053145783,152480.13006268782,511418356.23025495,8
fev1,,"height, df=3",,race_2[T.True],-402.5587610626939,43.85393857892543,-9.179534931353889,7.389646240597771e-20,-488.5420321199545,-316.5754900054333,152480.13006268782,511418356.23025495,8
fev1,,"height, df=3",,race_3[T.True],-46.95785301749662,17.922468605241036,-2.6200549741102526,0.00883132445392401,-82.09796872970875,-11.817737305284489,152480.13006268782,511418356.23025495,8
fev1,,"height, df=3",,race_4[T.True],-292.0133641216249,34.62255090844985,-8.434195530357561,4.894143176271616e-17,-359.89689467606553,-224.12983356718422,152480.13006268782,511418356.23025495,8
fev1,,"height, df=3",,age,-27.13536315270082,1.0476017289416837,-25.902365758897435,5.678335247594528e-135,-29.189368478984896,-25.081357826416742,152480.13006268782,511418356.23025495,8
fev1,,"height, df=3",,sex[T.True]:age,3.543357301951521,1.2720573983295456,2.785532560562618,0.005374104006225431,1.049267611829027,6.037446992074015,152480.13006268782,511418356.23025495,8
fev1,,"height, df=3",,"bs(height, df=3)[0]",628.7077754862045,225.25347435306037,2.7911124447331424,0.005282539232575263,187.0591763066443,1070.3563746657646,152480.13006268782,511418356.23025495,8
fev1,,"height, df=3",,"bs(height, df=3)[1]",1105.1113540590477,102.06456848344268,10.827570923775799,7.07808289716883e-27,904.9960225373418,1305.2266855807536,152480.13006268782,511418356.23025495,8
fev1,,"height, df=3",,"bs(height, df=3)[2]",2513.873988445932,187.51088034486943,13.406549976312961,5.855130678100005e-40,2146.2263067705057,2881.521670121358,152480.13006268782,511418356.23025495,8
fev1,,"waist_circ, df=3",,Intercept,4674.536504541051,97.71996473994133,47.83604370899262,0.0,4482.939503249869,4866.133505832233,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,sex[T.True],-729.0519454033858,71.30267067960072,-10.224749486304491,3.475087474141446e-24,-868.853243148639,-589.2506476581327,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,race_1[T.True],-474.5032765250485,17.978408798679627,-26.39295178113299,1.3369624700583224e-139,-509.7530765324577,-439.2534765176392,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,race_2[T.True],-435.3989677514758,43.50255519680114,-10.008583766672443,2.9602008121138966e-23,-520.6932998400388,-350.1046356629128,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,race_3[T.True],-34.700829150583,17.874065190954934,-1.9414066570677582,0.0522929226087745,-69.74604535163132,0.3443870504653219,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,race_4[T.True],-308.2194361181023,34.30514264950209,-8.984642310548033,4.243961722087733e-19,-375.48063988544595,-240.95823235075864,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,age,-26.969683534682837,1.0334806620087702,-26.095973080194867,8.643129600330311e-137,-28.996002273747752,-24.94336479561792,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,sex[T.True]:age,4.311352203550863,1.2441813760506195,3.4652119751513264,0.0005364829937450785,1.8719180372775623,6.750786369824163,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,height,360.0550127267827,10.512976175629637,34.24862823920729,1.3150402573198575e-220,339.4424929079643,380.6675325456011,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,"bs(waist_circ, df=3)[0]",447.4255208613766,200.3736185413494,2.232956235049701,0.025617798753545272,54.55816205139047,840.2928796713627,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,"bs(waist_circ, df=3)[1]",-509.5950299555996,125.50394504093411,-4.0603905302689185,5.01143703208594e-05,-755.6673610708382,-263.52269884036104,148880.4678873302,499345089.2941054,9
fev1,,"waist_circ, df=3",,"bs(waist_circ, df=3)[2]",-119.47774558248148,237.07700944378496,-0.5039617542957564,0.6143214724762938,-584.308491330228,345.35300016526503,148880.4678873302,499345089.2941054,9
fev1,sociodemographics,immigrant,,Intercept,4735.561729581139,62.04832891240069,76.32053614637657,0.0,4613.905192986981,4857.218266175297,148711.45681343225,498778226.1522517,10
fev1,sociodemographics,immigrant,,sex[T.True],-732.8981422016383,71.20925442726579,-10.292175477700466,1.7657053366229046e-24,-872.5162659919475,-593.280018411329,148711.45681343225,498778226.1522517,10
fev1,sociodemographics,immigrant,,race_1[T.True],-465.47248382382566,18.020888740298115,-25.829607547764343,2.7306369392239963e-134,-500.8055693222036,-430.1393983254477,148711.45681343225,498778226.1522517,10
fev1,sociodemographics,immigrant,,race_2[T.True],-372.84322259927563,46.33080465730691,-8.047415220975962,1.1635487483615378e-15,-463.68282023269364,-282.0036249658576,148711.45681343225,498778226.1522517,10
fev1,sociodemographics,immigrant,,race_3[T.True],9.552880516715007,20.177615174202664,0.4734395236622654,0.6359305512355629,-30.008842125143858,49.11460315857387,148711.45681343225,498778226.1522517,10
fev1,sociodemographics,immigrant,,race_4[T.True],-257.8396128236701,36.91611929657886,-6.984472304692247,3.4349598450360036e-12,-330.22008296427674,-185.45914268306348,148711.45681343225,498778226.1522517,10
fev1,sociodemographics,immigrant,,immigrant[T.True],-73.43817458562476,18.79024720044842,-3.9083133820545055,9.478486877922917e-05,-110.279721106272,-36.596628064977516,148711.45681343225,498778226.1522517,10
fev1,sociodemographics,immigrant,,age,-26.988672599481454,1.032598301590641,-26.136661815061487,3.542347933247695e-137,-29.013261097938518,-24.96408410102439,148711.45681343225,498778226.1522517,10
fev1,sociodemographics,immigrant,,sex[T.True]:age,4.162995826304565,1.244224584005569,3.345855627528681,0.0008293475514789651,1.7234772076947884,6.602514444914341,148711.45681343225,498778226.1522517,10
fev1,sociodemographics,immigrant,,height,356.08379807379777,10.567116348273439,33.69734810689184,1.450276683393261e-214,335.3651292675291,376.80246688006645,148711.45681343225,498778226.1522517,10
fev1,sociodemographics,immigrant,,waist_circ,-69.80756958048877,7.015724671098603,-9.950158088167605,5.2424815035412154e-23,-83.56311755647089,-56.05202160450666,148711.45681343225,498778226.1522517,10
fev1,,"bmi, df=3",,Intercept,4027.272876646605,129.37903935022382,31.127707369544925,5.279110087925206e-187,3773.6026935563495,4280.94305973686,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,sex[T.True],-726.405093265148,70.85070718491023,-10.25261598828272,2.6297151845550513e-24,-865.3202680410161,-587.48991848928,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,race_1[T.True],-476.4549047588803,18.091775958258737,-26.335441355130357,4.778560093944979e-139,-511.92698851223236,-440.9828210055282,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,race_2[T.True],-357.18696033070233,46.18492134638811,-7.733843642425866,1.371610661277502e-14,-447.74055782831,-266.6333628330947,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,race_3[T.True],7.796095816837649,20.194800334399062,0.38604470892232956,0.6994881454690364,-31.79933420046907,47.39152583414437,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,race_4[T.True],-244.74704738600252,36.78476018686192,-6.653490362386993,3.331835514179233e-11,-316.86998861663903,-172.62410615536604,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,immigrant[T.True],-72.29959127990716,18.698809203469615,-3.8665345206309594,0.00011249513126915856,-108.9618696368664,-35.63731292294792,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,age,-26.001346204142717,1.0564749228395833,-24.611418257100265,4.695009954588712e-123,-28.0727496436251,-23.929942764660332,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,sex[T.True]:age,4.0794541967668145,1.2381738434167437,3.29473459519186,0.0009954274336203754,1.6517983173096513,6.507110076223977,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,height,374.0391964085569,11.420715483555169,32.750942526073835,2.8804145762807618e-204,351.6468908056931,396.4315020114207,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,waist_circ,-138.89620626794368,17.72983431575391,-7.834038592482895,6.298467261232846e-15,-173.65864027290297,-104.1337722629844,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,"bs(bmi, df=3)[0]",1409.946175873794,255.80033521099878,5.511901204940914,3.819142223476634e-08,908.404981926055,1911.4873698215329,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,"bs(bmi, df=3)[1]",47.03531562798764,200.32910776837943,0.23479022171041608,0.8143859498825686,-345.74485727429624,439.8154885302715,146992.41923618343,493012574.1181592,11
fev1,,"bmi, df=3",,"bs(bmi, df=3)[2]",1571.1173047701648,358.78213878541953,4.379028761266789,1.2286796253687558e-05,867.6623147478315,2274.572294792498,146992.41923618343,493012574.1181592,11
fev1,,"arm_circ, df=3",,Intercept,4358.107256922217,142.97182842003448,30.482279656651016,2.883313775559901e-180,4077.7860085055654,4638.4285053388685,146607.89042920954,491722864.4995688,12
fev1,,"arm_circ, df=3",,sex[T.True],-764.7335166863435,71.36880649764393,-10.715234767329187,2.3045929461491107e-26,-904.6645307645165,-624.8025026081705,146607.89042920954,491722864.4995688,12
