target,group,cov,val,index,coef,std_err,t,p,ci_lower,ci_upper,mse,rss,n_vars
fev1,baseline,baseline,,Intercept,5466.375866495899,14.14843733381803,386.3589835062561,0.0,5438.645206108069,5494.106526883728,225987.85391668414,32586996559.07802,1
fev1,baseline,baseline,,sex[T.True],-1251.0257205690582,18.31356781487887,-68.31141442317218,0.0,-1286.919955217151,-1215.1314859209654,225987.85391668414,32586996559.07802,1
fev1,baseline,baseline,,race_1[T.True],-629.3667915166905,10.833676090689497,-58.09355810975101,0.0,-650.6005847147972,-608.1329983185838,225987.85391668414,32586996559.07802,1
fev1,baseline,baseline,,race_2[T.True],-756.1360960758566,8.284892926059236,-91.2668519465728,0.0,-772.3743241332364,-739.8978680184767,225987.85391668414,32586996559.07802,1
fev1,baseline,baseline,,race_3[T.True],-1.2722326276035974e-12,4.497121453613552e-14,-28.289932587462722,1.3936231844650452e-175,-1.3603753283207295e-12,-1.1840899268864654e-12,225987.85391668414,32586996559.07802,1
fev1,baseline,baseline,,race_4[T.True],-315.9469431925388,9.955510264466163,-31.735886438712903,2.8729204562613665e-220,-335.4595485508415,-296.43433783423615,225987.85391668414,32586996559.07802,1
fev1,baseline,baseline,,age,-34.99339488682838,0.24584794824037012,-142.3375510647528,0.0,-35.47525205584613,-34.51153771781064,225987.85391668414,32586996559.07802,1
fev1,baseline,baseline,,sex[T.True]:age,5.010734792724156,0.31952328229506033,15.681908237588292,2.2351773527380576e-55,4.384475410272766,5.636994175175546,225987.85391668414,32586996559.07802,1
fev1,,"height, df=3",,Intercept,3962.7994354657944,62.259588189004376,63.649624912965,0.0,3840.771860580882,4084.827010350707,179531.43891058813,25888074428.028988,8
fev1,,"height, df=3",,sex[T.True],-749.9486886456652,16.67860363238358,-44.96471678177822,0.0,-782.6384254866472,-717.2589518046833,179531.43891058813,25888074428.028988,8
fev1,,"height, df=3",,race_1[T.True],-566.4993148820417,9.66186665731769,-58.632491523052366,0.0,-585.4363845182027,-547.5622452458808,179531.43891058813,25888074428.028988,8
fev1,,"height, df=3",,race_2[T.True],-549.3385754092867,7.474387519983403,-73.49613248451246,0.0,-563.9882287292667,-534.6889220893067,179531.43891058813,25888074428.028988,8
fev1,,"height, df=3",,race_3[T.True],-3.2289431839584575e-13,3.507351685771728e-14,-9.206214469616235,3.421612605480457e-20,-3.9163772530434525e-13,-2.5415091148734625e-13,179531.43891058813,25888074428.028988,8
fev1,,"height, df=3",,race_4[T.True],-223.12159847297352,8.88841176214254,-25.10252725051414,9.292360758111818e-139,-240.5427116454558,-205.70048530049124,179531.43891058813,25888074428.028988,8
fev1,,"height, df=3",,age,-29.350385746493572,0.2219699512591226,-132.22684232709773,0.0,-29.78544250863028,-28.915328984356865,179531.43891058813,25888074428.028988,8
fev1,,"height, df=3",,sex[T.True]:age,4.216330497069219,0.287670382372773,14.65681125144665,1.3210220722082491e-48,3.6525021752274656,4.780158818910972,179531.43891058813,25888074428.028988,8
fev1,,"height, df=3",,"bs(height, df=3)[0]",144.1996527795227,116.54241321597836,1.2373148006836745,0.21597225017908023,-84.22119723973353,372.62050279877894,179531.43891058813,25888074428.028988,8
fev1,,"height, df=3",,"bs(height, df=3)[1]",1100.2517105670977,31.957955419441895,34.4281008007712,1.0845117204981289e-258,1037.6147431288296,1162.8886780053658,179531.43891058813,25888074428.028988,8
fev1,,"height, df=3",,"bs(height, df=3)[2]",2457.1367571134588,85.33136092304,28.795236950803357,8.091466576038632e-182,2289.8889590159642,2624.3845552109533,179531.43891058813,25888074428.028988,8
fev1,,"waist_circ, df=3",,Intercept,4881.689028465148,18.581475978328523,262.71804425862814,0.0,4845.269699049311,4918.108357880985,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,sex[T.True],-852.166500496524,16.37087432761665,-52.053817251469084,0.0,-884.2530939220463,-820.0799070710017,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,race_1[T.True],-547.8445235295881,9.533799844408914,-57.463396806140295,0.0,-566.530584718868,-529.1584623403081,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,race_2[T.True],-540.4583349341267,7.362020026937153,-73.41169039973062,0.0,-554.8877501667874,-526.028919701466,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,race_3[T.True],3.535364692033381e-14,9.507603781758882e-13,0.037184602694700725,0.970337866869305,-1.828118094974524e-12,1.8988253888151918e-12,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,race_4[T.True],-214.30656958952943,8.760360052541605,-24.463214788455367,6.776698626828066e-132,-231.47670391723045,-197.1364352618284,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,age,-28.759991938845765,0.21837964520603653,-131.69721890385583,0.0,-29.188011771379415,-28.331972106312115,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,sex[T.True]:age,4.866031080985934,0.28182765674021354,17.26598140604562,9.90657385492738e-67,4.31365438705236,5.418407774919508,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,height,319.9804882050381,1.6008958969646896,199.8758875025687,0.0,316.842763564648,323.1182128454282,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,"bs(waist_circ, df=3)[0]",399.0502748613494,47.59396352014954,8.384472427735632,5.1404551075337316e-17,305.76703742277164,492.3335122999272,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,"bs(waist_circ, df=3)[1]",-1051.349341636329,72.63426915853204,-14.474563505852133,1.8943260727091931e-47,-1193.7110882730508,-908.9875949996072,174397.32393402234,25147745316.638153,9
fev1,,"waist_circ, df=3",,"bs(waist_circ, df=3)[2]",-634.2036242171065,179.32174163915963,-3.536680039017708,0.0004053173074053172,-985.6707298332027,-282.7365186010103,174397.32393402234,25147745316.638153,9
fev1,,"sit_height, df=3",,Intercept,5394.030338973464,66.9168849697565,80.60791146227636,0.0,5262.874553492296,5525.186124454631,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,sex[T.True],-854.8425497363821,16.427985194497047,-52.03575116580531,0.0,-887.0410793456285,-822.6440201271357,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,race_1[T.True],-514.9720819071272,9.626526620887327,-53.4951080683408,0.0,-533.839885765428,-496.1042780488264,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,race_2[T.True],-528.3713212656961,7.404692895418918,-71.356277529428,0.0,-542.8843744866344,-513.8582680447578,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,race_3[T.True],1.5564273536587791e-12,4.477535244965775e-13,3.4760806303171288,0.0005089489066647557,6.788392048103856e-13,2.4340155025071727e-12,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,race_4[T.True],-207.77789711287534,8.76135981830764,-23.715256697790785,4.345465698738011e-124,-224.94999096291954,-190.60580326283113,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,age,-28.076814674770795,0.2197756004106603,-127.75219188257496,0.0,-28.507570552222095,-27.646058797319494,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,sex[T.True]:age,4.926283425803449,0.2830876467555552,17.40197243596882,9.35250089050618e-68,4.371437176056163,5.4811296755507355,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,height,278.7828986987706,2.4063908861874843,115.85104493994098,0.0,274.0664196367927,283.49937776074853,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,waist_circ,-85.96092037997091,1.2646702072374094,-67.97101717747191,0.0,-88.43964924608322,-83.48219151385861,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,"bs(sit_height, df=3)[0]",-1392.6465577992858,148.2572053543133,-9.393449407541858,5.887354594544719e-21,-1683.2277800166053,-1102.0653355819663,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,"bs(sit_height, df=3)[1]",-16.828636186938468,57.44099338539512,-0.2929725827342202,0.7695435300564153,-129.411859534602,95.75458716072508,174061.67887366482,25099345970.22472,10
fev1,,"sit_height, df=3",,"bs(sit_height, df=3)[2]",-115.06003999436234,162.77274160029415,-0.70687535801851,0.47964508105130144,-434.09142929406164,203.97134930533696,174061.67887366482,25099345970.22472,10
fev1,,"bmi, df=3",,Intercept,4621.642443427281,19.18027408915908,240.9581021597334,0.0,4584.049481423877,4659.235405430685,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,sex[T.True],-880.2526043588966,16.310358454750503,-53.968930652319116,0.0,-912.2205878611705,-848.2846208566227,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,race_1[T.True],-518.7278058875563,9.644677593433398,-53.783840969524306,0.0,-537.6311852980701,-499.82442647704255,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,race_2[T.True],-518.6887808353913,7.414370782929241,-69.95722172805468,0.0,-533.2208025273725,-504.15675914341006,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,race_3[T.True],3.1392086355942057e-12,8.365829065973872e-14,37.5241785462989,1.1364146476098788e-306,2.975240022454374e-12,3.3031772487340373e-12,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,race_4[T.True],-204.85053299123075,8.76195468712277,-23.379547179386186,1.1592227496695729e-120,-222.02379277351537,-187.67727320894613,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,age,-28.397613362225222,0.22064727459997627,-128.7014009745139,0.0,-28.83007770406066,-27.965149020389784,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,sex[T.True]:age,5.323881946982949,0.2810401142625906,18.94349481372814,6.2522846185665954e-80,4.773048820835011,5.874715073130887,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,height,289.8957518359984,2.554152207696086,113.49979494663404,0.0,284.8896634741486,294.9018401978482,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,waist_circ,-97.97967594007723,2.791351239195258,-35.10116339508912,8.901268293348746e-269,-103.45066976349354,-92.50868211666092,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,sit_height,42.68022558954358,2.1995866730680937,19.403748036903252,9.18155759561122e-84,38.369078739427465,46.9913724396597,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,"bs(bmi, df=3)[0]",782.9829737718719,47.57704835374324,16.457157408132254,8.469137353344315e-61,689.7328897176881,876.2330578260558,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,"bs(bmi, df=3)[1]",-775.8287451654516,80.11807211700936,-9.6835673233922,3.5969329204885194e-22,-932.8585992165486,-618.7988911143545,174144.08420881067,25111228654.74208,11
fev1,,"bmi, df=3",,"bs(bmi, df=3)[2]",1619.2037450445648,192.0748993526418,8.430064264002407,3.485983036179746e-17,1242.7406997509288,1995.6667903382008,174144.08420881067,25111228654.74208,11
fev1,,"weight, df=3",,Intercept,4773.74318845388,56.64813664664325,84.27008320205275,0.0,4662.713948791005,4884.772428116755,174260.15219291186,25127965425.913506,12
fev1,,"weight, df=3",,sex[T.True],-895.1496875901869,16.299668458558724,-54.9182757837112,0.0,-927.0967189109065,-863.2026562694673,174260.15219291186,25127965425.913506,12
fev1,,"weight, df=3",,race_1[T.True],-519.0335198359419,9.648790315595324,-53.79260019745987,0.0,-537.9449601025395,-500.12207956934424,174260.15219291186,25127965425.913506,12
fev1,,"weight, df=3",,race_2[T.True],-517.7871564913069,7.418104907426602,-69.8004629151209,0.0,-532.3264969951011,-503.2478159875126,174260.15219291186,25127965425.913506,12
fev1,,"weight, df=3",,race_3[T.True],-4.892608611472059e-13,1.2261318646195204e-13,-3.9902793106109176,6.602811567622196e-05,-7.295803080238313e-13,-2.489414142705805e-13,174260.15219291186,25127965425.913506,12
fev1,,"weight, df=3",,race_4[T.True],-204.45050787785962,8.765154104168326,-23.32537516717839,4.0973442998616145e-120,-221.6300384559656,-187.27097729975364,174260.15219291186,25127965425.913506,12
fev1,,"weight, df=3",,age,-28.498783348556156,0.2209254487218773,-128.9972862494136,0.0,-28.93179290625399,-28.065773790858323,174260.15219291186,25127965425.913506,12
fev1,,"weight, df=3",,sex[T.True]:age,5.525968761235406,0.2810317746572538,19.66314580610991,5.787115440861354e-86,4.975151980518716,6.076785541952096,174260.15219291186,25127965425.913506,12
fev1,,"weight, df=3",,height,290.86233464766485,9.113549946900699,31.915371764279428,9.827597068354912e-223,272.99995503320713,308.7247142621226,174260.15219291186,25127965425.913506,12
fev1,,"weight, df=3",,waist_circ,-95.16296084777133,2.8042140671409923,-33.935697692577996,1.9607681359846136e-251,-100.65916556265405,-89.66675613288861,174260.15219291186,25127965425.913506,12
fev1,,"weight, df=3",,sit_height,43.46488310805324,2.2017489308217932,19.741071518009168,1.2467384867938335e-86,39.14949827478748,47.780267941319,174260.15219291186,25127965425.913506,12
