group,target,index,cov,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars,fraction
baseline,fev1,asian,Baseline,-745.43,8.47,-87.99,0.0,-762.03,-728.83,244592.64,38285108222.95,0,-0.0
anthropometrics,fev1,asian,Height,-535.96,7.77,-68.98,0.0,-551.19,-520.73,201324.08,31512452463.83,8,28.100559408663447
anthropometrics,fev1,asian,Waist Circumference,-531.87,7.68,-69.3,0.0,-546.92,-516.83,196417.19,30744397045.93,9,28.649236011429636
anthropometrics,fev1,asian,Sit Height,-515.53,7.7,-66.92,0.0,-530.63,-500.44,195862.07,30657506560.53,10,30.841259407321946
demographics,fev1,asian,Income Level,-514.06,7.7,-66.76,0.0,-529.15,-498.97,195633.97,30621802265.11,11,31.038461022497085
demographics,fev1,asian,HS Graduate,-516.45,7.7,-67.05,0.0,-531.55,-501.35,195539.39,30606999082.71,12,30.7178407093892
demographics,fev1,asian,Immigrant,-477.2,8.88,-53.71,0.0,-494.61,-459.79,195441.35,30591652779.68,13,35.9832579853239
anthropometrics,fev1,asian,BMI,-473.42,8.89,-53.24,0.0,-490.85,-456.0,195348.85,30577174545.01,14,36.490347852917104
anthropometrics,fev1,asian,Weight,-472.62,8.89,-53.15,0.0,-490.05,-455.2,195270.42,30564897347.17,15,36.59766845981513
exposures,fev1,asian,PM2.5,-472.0,8.89,-53.09,0.0,-489.43,-454.57,195220.33,30557058124.11,16,36.680841930161115
exposures,fev1,asian,Smoke Exposure,-471.44,8.89,-53.02,0.0,-488.87,-454.01,195201.11,30554049192.82,17,36.75596635498974
anthropometrics,fev1,asian,Hip Circumference,-471.46,8.89,-53.02,0.0,-488.88,-454.03,195200.84,30554007196.84,18,36.75328333981729
baseline,fev1,black,Baseline,-637.77,11.08,-57.55,0.0,-659.49,-616.05,244592.64,38285108222.95,0,-0.0
anthropometrics,fev1,black,Height,-575.23,10.06,-57.18,0.0,-594.95,-555.52,201324.08,31512452463.83,8,9.80604293083713
anthropometrics,fev1,black,Waist Circumference,-550.51,9.94,-55.36,0.0,-570.0,-531.02,196417.19,30744397045.93,9,13.682048387349672
anthropometrics,fev1,black,Sit Height,-521.41,10.03,-52.01,0.0,-541.06,-501.76,195862.07,30657506560.53,10,18.244821800962733
demographics,fev1,black,Income Level,-515.07,10.03,-51.35,0.0,-534.73,-495.41,195633.97,30621802265.11,11,19.238910579048863
demographics,fev1,black,HS Graduate,-517.56,10.03,-51.59,0.0,-537.22,-497.89,195539.39,30606999082.71,12,18.84848769932735
demographics,fev1,black,Immigrant,-487.02,10.61,-45.92,0.0,-507.8,-466.23,195441.35,30591652779.68,13,23.63704783856249
anthropometrics,fev1,black,BMI,-493.61,10.63,-46.43,0.0,-514.44,-472.77,195348.85,30577174545.01,14,22.603759976166952
anthropometrics,fev1,black,Weight,-494.21,10.63,-46.5,0.0,-515.04,-473.38,195270.42,30564897347.17,15,22.50968217382442
exposures,fev1,black,PM2.5,-490.94,10.64,-46.14,0.0,-511.8,-470.09,195220.33,30557058124.11,16,23.022406196591245
exposures,fev1,black,Smoke Exposure,-490.27,10.64,-46.07,0.0,-511.13,-469.42,195201.11,30554049192.82,17,23.127459742540413
anthropometrics,fev1,black,Hip Circumference,-490.34,10.64,-46.07,0.0,-511.2,-469.48,195200.84,30554007196.84,18,23.116483998933784
baseline,fev1,other,Baseline,-322.27,10.09,-31.95,0.0,-342.03,-302.5,244592.64,38285108222.95,0,-0.0
anthropometrics,fev1,other,Height,-226.86,9.16,-24.75,0.0,-244.82,-208.9,201324.08,31512452463.83,8,29.60561020262512
anthropometrics,fev1,other,Waist Circumference,-220.05,9.05,-24.31,0.0,-237.8,-202.31,196417.19,30744397045.93,9,31.71874515158096
anthropometrics,fev1,other,Sit Height,-212.05,9.05,-23.44,0.0,-229.78,-194.31,195862.07,30657506560.53,10,34.201135693672995
demographics,fev1,other,Income Level,-209.71,9.04,-23.19,0.0,-227.43,-191.98,195633.97,30621802265.11,11,34.92723492723492
demographics,fev1,other,HS Graduate,-212.15,9.05,-23.45,0.0,-229.89,-194.42,195539.39,30606999082.71,12,34.17010581189685
demographics,fev1,other,Immigrant,-190.85,9.36,-20.39,0.0,-209.19,-172.51,195441.35,30591652779.68,13,40.7794706302169
anthropometrics,fev1,other,BMI,-191.17,9.36,-20.43,0.0,-209.51,-172.83,195348.85,30577174545.01,14,40.68017500853322
anthropometrics,fev1,other,Weight,-190.65,9.35,-20.38,0.0,-208.98,-172.31,195270.42,30564897347.17,15,40.8415303937692
exposures,fev1,other,PM2.5,-188.59,9.36,-20.15,0.0,-206.93,-170.24,195220.33,30557058124.11,16,41.48074595835789
exposures,fev1,other,Smoke Exposure,-188.41,9.36,-20.13,0.0,-206.76,-170.07,195201.11,30554049192.82,17,41.536599745554966
anthropometrics,fev1,other,Hip Circumference,-188.46,9.36,-20.14,0.0,-206.8,-170.11,195200.84,30554007196.84,18,41.52108480466689
baseline,fvc,asian,Baseline,-1014.26,10.78,-94.07,0.0,-1035.4,-993.13,396200.36,62015657013.23,0,-0.0
anthropometrics,fvc,asian,Height,-708.15,9.54,-74.19,0.0,-726.86,-689.44,303792.55,47551432778.18,8,30.1806242975174
anthropometrics,fvc,asian,Waist Circumference,-701.16,9.32,-75.26,0.0,-719.42,-682.9,289435.08,45304114961.9,9,30.869796699071248
anthropometrics,fvc,asian,Sit Height,-677.78,9.35,-72.52,0.0,-696.1,-659.46,288299.02,45126292817.22,10,33.17492556149311
demographics,fvc,asian,Immigrant,-627.28,10.78,-58.18,0.0,-648.41,-606.15,288136.78,45100897038.4,11,38.153925029085244
demographics,fvc,asian,HS Graduate,-625.78,10.78,-58.05,0.0,-646.91,-604.65,288000.98,45079641163.6,12,38.30181610238006
demographics,fvc,asian,Income Level,-624.02,10.78,-57.87,0.0,-645.16,-602.89,287935.23,45069349581.9,13,38.47534162837931
anthropometrics,fvc,asian,Weight,-626.88,10.79,-58.08,0.0,-648.04,-605.73,287871.72,45059408770.99,14,38.193362648630526
anthropometrics,fvc,asian,BMI,-623.46,10.79,-57.79,0.0,-644.61,-602.32,287520.33,45004406832.1,15,38.530554295742704
anthropometrics,fvc,asian,Hip Circumference,-623.14,10.79,-57.76,0.0,-644.28,-601.99,287428.53,44990037383.64,16,38.56210439137894
exposures,fvc,asian,Smoke Exposure,-622.38,10.79,-57.69,0.0,-643.53,-601.24,287393.14,44984498019.25,17,38.63703586851498
exposures,fvc,asian,PM2.5,-622.24,10.79,-57.67,0.0,-643.39,-601.09,287390.66,44984110772.45,18,38.65083903535583
baseline,fvc,black,Baseline,-871.81,14.1,-61.81,0.0,-899.45,-844.16,396200.36,62015657013.23,0,-0.0
anthropometrics,fvc,black,Height,-780.42,12.36,-63.15,0.0,-804.64,-756.2,303792.55,47551432778.18,8,10.482788681019946
anthropometrics,fvc,black,Waist Circumference,-738.12,12.07,-61.15,0.0,-761.78,-714.46,289435.08,45304114961.9,9,15.334763308519053
anthropometrics,fvc,black,Sit Height,-696.49,12.16,-57.26,0.0,-720.34,-672.65,288299.02,45126292817.22,10,20.109886328443118
