group,target,index,cov,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars,fraction
anthropometrics,fev1,asian,Height,-535.96,7.77,-68.98,0.0,-551.19,-520.73,201324.08,31512452463.83,8,-0.0
anthropometrics,fev1,asian,Waist Circumference,-531.87,7.68,-69.3,0.0,-546.92,-516.83,196417.19,30744397045.93,9,0.7631166504963116
anthropometrics,fev1,asian,Sit Height,-515.53,7.7,-66.92,0.0,-530.63,-500.44,195862.07,30657506560.53,10,3.811851630718722
anthropometrics,fev1,asian,BMI,-510.92,7.72,-66.18,0.0,-526.05,-495.79,195770.37,30643153626.14,11,4.67199044704829
anthropometrics,fev1,asian,Weight,-510.28,7.72,-66.1,0.0,-525.41,-495.15,195692.33,30630936940.08,12,4.791402343458478
anthropometrics,fev1,asian,Hip Circumference,-510.27,7.72,-66.1,0.0,-525.4,-495.14,195692.26,30630926713.77,13,4.793268154339886
baseline,fev1,asian,Baseline,-745.43,8.47,-87.99,0.0,-762.03,-728.83,244592.64,38285108222.95,0,-0.0
demographics,fev1,asian,Income Level,-734.58,8.44,-87.03,0.0,-751.12,-718.04,242487.11,37955537653.34,8,-0.0
demographics,fev1,asian,HS Graduate,-739.48,8.43,-87.77,0.0,-755.99,-722.97,241527.06,37805264821.79,9,-0.6670478368591545
demographics,fev1,asian,Immigrant,-697.07,9.77,-71.35,0.0,-716.22,-677.93,241413.75,37787529100.16,10,5.106319257262652
exposures,fev1,asian,PM2.5,-737.04,8.47,-86.98,0.0,-753.65,-720.43,244049.97,38200165136.18,8,-0.0
exposures,fev1,asian,Smoke Exposure,-735.93,8.48,-86.82,0.0,-752.54,-719.32,244008.9,38193737794.33,9,0.15060240963855606
anthropometrics,fvc,asian,Height,-708.15,9.54,-74.19,0.0,-726.86,-689.44,303792.55,47551432778.18,8,-0.0
anthropometrics,fvc,asian,Waist Circumference,-701.16,9.32,-75.26,0.0,-719.42,-682.9,289435.08,45304114961.9,9,0.9870790086846021
anthropometrics,fvc,asian,Sit Height,-677.78,9.35,-72.52,0.0,-696.1,-659.46,288299.02,45126292817.22,10,4.288639412553838
anthropometrics,fvc,asian,Weight,-681.33,9.37,-72.75,0.0,-699.68,-662.97,288236.95,45116576200.66,11,3.787333192120305
anthropometrics,fvc,asian,BMI,-677.82,9.36,-72.39,0.0,-696.17,-659.47,287884.81,45061457591.96,12,4.28299089176021
anthropometrics,fvc,asian,Hip Circumference,-678.04,9.36,-72.43,0.0,-696.39,-659.69,287791.24,45046812041.74,13,4.251924027395328
baseline,fvc,asian,Baseline,-1014.26,10.78,-94.07,0.0,-1035.4,-993.13,396200.36,62015657013.23,0,-0.0
demographics,fvc,asian,Income Level,-1000.83,10.74,-93.15,0.0,-1021.89,-979.77,392973.05,61510500100.51,8,-0.0
demographics,fvc,asian,HS Graduate,-1007.32,10.72,-93.93,0.0,-1028.34,-986.3,391293.32,61247578949.45,9,-0.6484617767253189
demographics,fvc,asian,Immigrant,-948.41,12.43,-76.27,0.0,-972.78,-924.04,391074.69,61213356387.2,10,5.237652748218985
exposures,fvc,asian,PM2.5,-1005.35,10.79,-93.18,0.0,-1026.5,-984.21,395587.63,61919749585.51,8,-0.0
exposures,fvc,asian,Smoke Exposure,-1003.94,10.79,-93.03,0.0,-1025.09,-982.79,395521.79,61909444066.23,9,0.14024966429601315
anthropometrics,fev1,black,Height,-575.23,10.06,-57.18,0.0,-594.95,-555.52,201324.08,31512452463.83,8,-0.0
anthropometrics,fev1,black,Waist Circumference,-550.51,9.94,-55.36,0.0,-570.0,-531.02,196417.19,30744397045.93,9,4.297411470194535
anthropometrics,fev1,black,Sit Height,-521.41,10.03,-52.01,0.0,-541.06,-501.76,195862.07,30657506560.53,10,9.35625749700121
anthropometrics,fev1,black,BMI,-527.3,10.05,-52.48,0.0,-547.0,-507.61,195770.37,30643153626.14,11,8.332319246214569
anthropometrics,fev1,black,Weight,-528.09,10.05,-52.57,0.0,-547.77,-508.4,195692.33,30630936940.08,12,8.194982876414649
anthropometrics,fev1,black,Hip Circumference,-528.11,10.05,-52.57,0.0,-547.8,-508.42,195692.26,30630926713.77,13,8.191506006293135
baseline,fev1,black,Baseline,-637.77,11.08,-57.55,0.0,-659.49,-616.05,244592.64,38285108222.95,0,-0.0
demographics,fev1,black,Income Level,-614.18,11.05,-55.57,0.0,-635.85,-592.52,242487.11,37955537653.34,8,-0.0
demographics,fev1,black,HS Graduate,-620.38,11.03,-56.23,0.0,-642.01,-598.76,241527.06,37805264821.79,9,-1.0094760493666426
demographics,fev1,black,Immigrant,-587.21,11.69,-50.23,0.0,-610.12,-564.3,241413.75,37787529100.16,10,4.391220814744849
exposures,fev1,black,PM2.5,-621.42,11.1,-55.96,0.0,-643.18,-599.66,244049.97,38200165136.18,8,-0.0
exposures,fev1,black,Smoke Exposure,-620.17,11.11,-55.84,0.0,-641.94,-598.41,244008.9,38193737794.33,9,0.20115219980045704
anthropometrics,fvc,black,Height,-780.42,12.36,-63.15,0.0,-804.64,-756.2,303792.55,47551432778.18,8,-0.0
anthropometrics,fvc,black,Waist Circumference,-738.12,12.07,-61.15,0.0,-761.78,-714.46,289435.08,45304114961.9,9,5.420158376258932
anthropometrics,fvc,black,Sit Height,-696.49,12.16,-57.26,0.0,-720.34,-672.65,288299.02,45126292817.22,10,10.754465544194145
anthropometrics,fvc,black,Weight,-691.96,12.19,-56.78,0.0,-715.84,-668.07,288236.95,45116576200.66,11,11.334922221367973
anthropometrics,fvc,black,BMI,-696.35,12.18,-57.15,0.0,-720.23,-672.47,287884.81,45061457591.96,12,10.772404602649846
anthropometrics,fvc,black,Hip Circumference,-695.55,12.18,-57.09,0.0,-719.43,-671.67,287791.24,45046812041.74,13,10.874913508111018
baseline,fvc,black,Baseline,-871.81,14.1,-61.81,0.0,-899.45,-844.16,396200.36,62015657013.23,0,-0.0
