model,race_adj,race,mae,mse,r2,n,mae_mean_bs,mae_ci_lower,mae_ci_upper,mse_mean_bs,mse_ci_lower,mse_ci_upper,r2_mean_bs,r2_ci_lower,r2_ci_upper
_linreg,False,All,1.8627037994958247,5.7556786433433205,0.9653740813486272,7873,1.8624815753940793,1.8293917110627602,1.8950337086207456,5.759541030337001,5.483409701570769,6.072209356651117,0.965321085287877,0.9630917715688838,0.9671744758056537
_linreg,False,Non-Hispanic white,1.726322260274977,4.960543160819263,0.9704438966053015,5159,1.7275949440054683,1.6866182874826194,1.768713522801972,4.967329250944719,4.629629978526142,5.365733144217258,0.9703862166815106,0.9677847918104826,0.9724793897295095
_linreg,False,Non-Hispanic black,2.153625438725945,7.485083863043962,0.9536518600455979,2450,2.156473538700174,2.0903812972517937,2.2253717278098217,7.501068458888089,7.017574458716949,8.036624332569295,0.9534984076295964,0.949299377189337,0.9573332370737136
_linreg,False,Mexican American,1.8300137328319004,5.258115985971423,0.9666850622885016,263,1.8305092559947558,1.6643244173862222,1.9965017869485455,5.254635041509419,4.40811669868976,6.140696034730113,0.9662657453342889,0.958051610792567,0.9735507070604574
_linreg,False,Other,1.2945360586649173,1.675823607183698,,1,1.294536058664917,1.2945360586649173,1.2945360586649173,1.6758236071836983,1.675823607183698,1.675823607183698,,,
_linreg,True,All,1.87621069590544,5.801936885285216,0.9650957937266649,7873,1.8759941327988368,1.8430403480320434,1.9087702515285103,5.806151173172857,5.5220327455054266,6.12042661563509,0.9650405155356621,0.962826541680969,0.9668764327602659
_linreg,True,Non-Hispanic white,1.772818464315795,5.19248537558576,0.9690619293773213,5159,1.7740618715444652,1.7323519042535722,1.8149213969779923,5.199275292576285,4.855882841551877,5.591887043441323,0.9690034764296785,0.9663479136963278,0.9711351447145307
_linreg,True,Non-Hispanic black,2.0979229606112213,7.1394774869449895,0.9557918778438828,2450,2.1006708820450544,2.035965143622463,2.165995164370133,7.154540818235242,6.689761250846304,7.677554814661436,0.9556467832659736,0.9515683375427738,0.9593050026680603
_linreg,True,Mexican American,1.8389926599818773,5.305704167396729,0.9663835479620361,263,1.8394348578437933,1.6686872202249268,2.0073034348253196,5.302397085803105,4.445599538553642,6.1826041867933075,0.9659610906025082,0.9577035718148634,0.9733263386694536
_linreg,True,Other,1.8700283856174593,3.4970061630150413,,1,1.870028385617459,1.8700283856174593,1.8700283856174593,3.497006163015042,3.4970061630150413,3.4970061630150413,,,
_xgboost,False,All,1.7508147058592323,5.273145553047512,0.9682769799582468,7873,1.7507322780177415,1.7179932690623692,1.7846704350610434,5.280561855840667,4.9847053769331735,5.609866734214769,0.9682055030451878,0.9661534226557837,0.9702085896327716
_xgboost,False,Non-Hispanic white,1.6852271202576903,4.970673505197598,0.970383537588927,5159,1.6859706921054867,1.6449882689814486,1.7263869123094697,4.976590509469102,4.550345868011595,5.494677119085284,0.9703320874823427,0.9670558794425004,0.9727795363552924
_xgboost,False,Non-Hispanic black,1.8937548653738843,5.920677464542593,0.9633387691076718,2450,1.8952343083857321,1.8369765434887944,1.9520175110018982,5.926524959141381,5.576001426308871,6.284152507155632,0.9632590234460062,0.960183834991863,0.966056137174223
_xgboost,False,Mexican American,1.7093763286169945,5.191829193992073,0.9671050492860838,263,1.7101910665562852,1.5436678436047224,1.8911718287304784,5.2102023569458105,4.1008153343356675,6.545517773601357,0.9665664918035116,0.956861359187697,0.9750191964792665
_xgboost,False,Other,0.8120712280273494,0.6594596793898474,,1,0.8120712280273494,0.8120712280273494,0.8120712280273494,0.6594596793898474,0.6594596793898474,0.6594596793898474,,,
_xgboost,True,All,1.5779521153809897,4.372993527714841,0.9736922563721038,7873,1.5779995941327818,1.5461495210290725,1.608875096821503,4.3819240288745736,4.105861036337946,4.693064887632564,0.9736158644928669,0.9715973374082318,0.9753824610779476
_xgboost,True,Non-Hispanic white,1.5343248080782106,4.240062538593006,0.9747366925903442,5159,1.5349586396001618,1.4956067958601824,1.5760196601348597,4.245520914818244,3.8595567201117924,4.737056237700514,0.9746906829255398,0.9717385750269283,0.9769238943620193
_xgboost,True,Non-Hispanic black,1.6518026920240751,4.526844884780279,0.971969473674495,2450,1.6521253564708478,1.5995803536162083,1.7042344418973343,4.527833039619507,4.226313686917567,4.845613012957822,0.9719312584506895,0.9694509792632398,0.9742227900075899
_xgboost,True,Mexican American,1.7469437689835585,5.55781806279676,0.9647861775837744,263,1.7476383530417325,1.5598147839738394,1.941692647244994,5.578178958788008,4.26744655053171,7.263289313877289,0.9641904516074354,0.9519124676478371,0.9740674015542801
_xgboost,True,Other,1.2725128173828182,1.6192888704035575,,1,1.2725128173828182,1.2725128173828182,1.2725128173828182,1.619288870403558,1.6192888704035575,1.6192888704035575,,,
