cohort,target,feature,importance,r2
nh4,fev1,weight,-130.4550630700285,0.665436075167904
nh4,fev1,waist_circ,-188.76906636660954,0.665436075167904
nh4,fev1,arm_circ,-32.66922916588681,0.665436075167904
nh4,fev1,arm_len,-73.39770640949276,0.665436075167904
nh4,fev1,height,606.8202401856563,0.665436075167904
nh4,fev1,bmi,271.5025879713154,0.665436075167904
nh4,fev1,sit_height,257.62295772398966,0.665436075167904
nh4,fev1,leg_len,-76.25400452120272,0.665436075167904
nh4,fev1,veteran,-23.405311888303547,0.665436075167904
nh4,fev1,married,18.849461587113062,0.665436075167904
nh4,fev1,hh_size,50.035371672151214,0.665436075167904
nh4,fev1,immigrant,-166.19190505525825,0.665436075167904
nh4,fev1,inc_pov_bin,-34.03453646231098,0.665436075167904
nh4,fev1,priv_ins,135.19849016869614,0.665436075167904
nh4,fev1,eng_lang,-201.80189937660631,0.665436075167904
nh4,fev1,mil_health,-22.38773153018473,0.665436075167904
nh4,fev1,hs_grad,70.82193657187058,0.665436075167904
nh4,fev1,health_ins,-210.46667355928693,0.665436075167904
nh4,fev1,exhaust_fumes,-21.896578281852594,0.665436075167904
nh4,fev1,mineral_dust,32.01987376585694,0.665436075167904
nh4,fev1,organic_dust,4.44979376345256,0.665436075167904
nh4,fev1,other_fumes,-21.591667213755198,0.665436075167904
nh4,fev1,smoke_exposure,-79.54745026921586,0.665436075167904
nh4,fev1,work_air,64.27459537023086,0.665436075167904
nh4,fvc,weight,-181.5353944804809,0.682067099952645
nh4,fvc,waist_circ,-235.4311950722857,0.682067099952645
nh4,fvc,arm_circ,-72.1281002942738,0.682067099952645
nh4,fvc,arm_len,-50.838113708192026,0.682067099952645
nh4,fvc,height,820.4921788899726,0.682067099952645
nh4,fvc,bmi,333.17984151438577,0.682067099952645
nh4,fvc,sit_height,287.2304164410294,0.682067099952645
nh4,fvc,leg_len,-107.85538933424647,0.682067099952645
nh4,fvc,veteran,36.0648802432345,0.682067099952645
nh4,fvc,married,46.853925740576216,0.682067099952645
nh4,fvc,hh_size,39.463086659331,0.682067099952645
nh4,fvc,immigrant,-223.09953473952302,0.682067099952645
nh4,fvc,inc_pov_bin,-39.43502552061747,0.682067099952645
nh4,fvc,priv_ins,152.35179030363662,0.682067099952645
nh4,fvc,eng_lang,-276.6762318190305,0.682067099952645
nh4,fvc,mil_health,-57.855685273935045,0.682067099952645
nh4,fvc,hs_grad,57.75835777667255,0.682067099952645
nh4,fvc,health_ins,-244.68506302539268,0.682067099952645
nh4,fvc,exhaust_fumes,-38.12792446832938,0.682067099952645
nh4,fvc,mineral_dust,55.463550606639956,0.682067099952645
nh4,fvc,organic_dust,4.676846089448738,0.682067099952645
nh4,fvc,other_fumes,-25.22039435496385,0.682067099952645
nh4,fvc,smoke_exposure,-107.45698875221905,0.682067099952645
nh4,fvc,work_air,84.67535284047264,0.682067099952645
