White,Black,Other,Hispanic
697,367,85,420
58.7 (12.2),53.8 (11.7),53.3 (9.8),54.0 (11.0)
2895.0 (788.7),2545.0 (730.1),2550.2 (706.8),2784.6 (705.4)
3670.2 (999.3),3136.5 (928.0),3150.8 (868.4),3446.5 (887.1)
790.5 (53.0),821.0 (127.3),811.6 (47.2),810.7 (55.2)
165.7 (9.3),166.7 (9.0),160.9 (9.0),160.2 (8.9)
87.2 (4.8),85.5 (4.5),85.0 (5.1),85.0 (4.6)
93.1 (13.0),98.3 (13.4),88.4 (11.5),95.8 (10.5)
67.7%,67.0%,68.2%,66.0%
5.0%,9.8%,91.8%,43.8%
44.2%,28.3%,42.4%,13.3%
20.5%,36.2%,31.8%,26.0%
94.0%,79.0%,81.2%,67.6%
