White,Black,Asian,Other,Hispanic
633,372,88,63,629
57.1 (11.8),54.6 (10.3),53.4 (9.7),52.1 (10.2),53.9 (10.2)
2991.8 (809.5),2551.1 (645.9),2430.0 (678.6),2631.0 (699.0),2765.5 (725.0)
3832.4 (1036.2),3188.6 (795.5),3049.0 (878.7),3289.7 (866.1),3455.1 (909.6)
781.9 (47.0),800.9 (48.8),799.5 (52.0),800.1 (43.7),801.5 (44.5)
167.7 (10.2),167.4 (9.1),160.2 (8.6),162.4 (8.5),160.5 (9.2)
94.8 (6.8),94.4 (6.5),93.7 (7.8),94.8 (7.1),94.0 (7.3)
101.9 (14.7),102.4 (15.8),87.6 (9.7),94.2 (16.0),99.1 (12.4)
58.9%,63.4%,62.5%,60.3%,63.0%
6.3%,19.4%,97.7%,74.6%,73.9%
87.5%,78.0%,77.3%,77.8%,49.6%
6.5%,8.9%,3.4%,1.6%,3.8%
89.7%,85.5%,79.5%,71.4%,74.4%
