White,Black,Asian,Other,Hispanic
1330,739,88,148,1049
57.9 (12.0),54.2 (11.0),53.4 (9.7),52.8 (10.0),54.0 (10.5)
2941.1 (799.8),2548.1 (688.5),2430.0 (678.6),2584.6 (702.2),2773.1 (716.9)
3747.4 (1019.9),3162.7 (863.7),3049.0 (878.7),3209.9 (867.2),3451.6 (900.2)
786.4 (50.4),810.9 (96.6),799.5 (52.0),806.7 (45.9),805.2 (49.3)
166.7 (9.8),167.0 (9.0),160.2 (8.6),161.5 (8.8),160.4 (9.0)
90.8 (6.9),90.0 (7.1),93.7 (7.8),89.2 (7.7),90.4 (7.8)
97.3 (14.5),100.3 (14.8),87.6 (9.7),90.9 (13.9),97.7 (11.8)
63.5%,65.2%,62.5%,64.9%,64.2%
5.6%,14.6%,97.7%,84.5%,61.9%
64.8%,53.3%,77.3%,57.4%,35.1%
13.8%,22.5%,3.4%,18.9%,12.7%
92.0%,82.3%,79.5%,77.0%,71.7%
