White,Black,Asian,Other
136520,1963,3389,2326
56.9 (7.9),52.1 (7.8),53.6 (8.1),53.5 (8.0)
2890.5 (717.1),2394.0 (629.3),2296.2 (624.7),2689.4 (704.6)
3717.7 (912.8),3016.9 (782.0),2905.4 (783.3),3417.8 (895.4)
777.9 (38.9),793.7 (40.2),790.6 (39.5),787.7 (40.3)
167.8 (9.0),166.5 (8.3),162.8 (8.9),165.6 (9.1)
89.0 (4.7),85.7 (4.4),85.4 (4.8),87.4 (5.0)
88.6 (13.0),91.4 (12.0),88.3 (12.1),88.7 (12.9)
60.5%,62.8%,54.8%,59.9%
4.0%,69.5%,88.3%,50.5%
56.5%,63.5%,64.0%,66.0%
18.8%,12.4%,12.8%,16.9%
84.4%,78.3%,80.5%,80.8%
