group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
All,46958,431.91,320502.17,0.63,ukb_val,fvc,3,height,false
white,44562,420.55,304716.74,0.65,ukb_val,fvc,3,height,false
black,609,762.71,782547.39,-0.21,ukb_val,fvc,3,height,false
asian,1051,676.07,656306.46,-0.00,ukb_val,fvc,3,height,false
other,736,496.82,414407.49,0.53,ukb_val,fvc,3,height,false
All,46958,419.55,302874.79,0.65,ukb_val,fvc,4,height,true
white,44562,419.31,302629.59,0.65,ukb_val,fvc,4,height,true
black,609,399.55,262613.00,0.60,ukb_val,fvc,4,height,true
asian,1051,398.90,275316.73,0.58,ukb_val,fvc,4,height,true
other,736,480.06,390387.97,0.56,ukb_val,fvc,4,height,true
All,7323,498.24,404740.13,0.62,nh,fvc,3,height,false
white,2466,477.60,374891.76,0.69,nh,fvc,3,height,false
black,1828,554.22,498224.76,0.40,nh,fvc,3,height,false
asian,198,450.31,331290.59,0.63,nh,fvc,3,height,false
hispanic,2489,484.43,380567.52,0.60,nh,fvc,3,height,false
other,342,476.00,338730.68,0.66,nh,fvc,3,height,false
All,7323,508.06,423459.13,0.60,nh,fvc,4,height,true
white,2466,455.48,348984.07,0.71,nh,fvc,4,height,true
black,1828,519.46,439162.72,0.48,nh,fvc,4,height,true
asian,198,514.68,403500.24,0.54,nh,fvc,4,height,true
hispanic,2489,555.29,494029.47,0.48,nh,fvc,4,height,true
other,342,478.62,374487.24,0.62,nh,fvc,4,height,true
All,3860,507.34,418333.64,0.61,nh3,fvc,3,height,false
white,1293,476.06,372334.83,0.70,nh3,fvc,3,height,false
black,1120,551.47,498025.00,0.42,nh3,fvc,3,height,false
hispanic,1259,503.50,404201.30,0.57,nh3,fvc,3,height,false
other,188,485.17,354582.43,0.64,nh3,fvc,3,height,false
All,3860,516.54,432399.59,0.60,nh3,fvc,4,height,true
white,1293,457.50,348907.50,0.72,nh3,fvc,4,height,true
black,1120,520.10,439074.35,0.49,nh3,fvc,4,height,true
hispanic,1259,579.65,521478.46,0.44,nh3,fvc,4,height,true
other,188,478.72,370321.15,0.62,nh3,fvc,4,height,true
All,3463,488.09,389588.24,0.63,nh4,fvc,3,height,false
white,1173,479.30,377710.27,0.67,nh4,fvc,3,height,false
black,708,558.57,498540.79,0.38,nh4,fvc,3,height,false
asian,198,450.31,331290.59,0.63,nh4,fvc,3,height,false
hispanic,1230,464.91,356376.53,0.62,nh4,fvc,3,height,false
other,154,464.81,319379.18,0.66,nh4,fvc,3,height,false
All,3463,498.60,413493.73,0.61,nh4,fvc,4,height,true
white,1173,453.26,349068.47,0.69,nh4,fvc,4,height,true
black,708,518.45,439302.53,0.45,nh4,fvc,4,height,true
asian,198,514.68,403500.24,0.54,nh4,fvc,4,height,true
hispanic,1230,530.36,465933.30,0.51,nh4,fvc,4,height,true
other,154,478.50,379573.12,0.60,nh4,fvc,4,height,true
All,46958,430.18,317299.76,0.64,ukb_val,fvc,4,sit_height,false
white,44562,421.52,305827.04,0.64,ukb_val,fvc,4,sit_height,false
black,609,670.22,632093.93,0.03,ukb_val,fvc,4,sit_height,false
asian,1051,625.76,576750.50,0.12,ukb_val,fvc,4,sit_height,false
other,736,476.80,380961.54,0.57,ukb_val,fvc,4,sit_height,false
All,46958,419.05,301977.02,0.66,ukb_val,fvc,5,sit_height,true
white,44562,419.50,302725.65,0.65,ukb_val,fvc,5,sit_height,true
black,609,390.91,254099.17,0.61,ukb_val,fvc,5,sit_height,true
asian,1051,393.76,265556.94,0.60,ukb_val,fvc,5,sit_height,true
other,736,451.12,348274.25,0.60,ukb_val,fvc,5,sit_height,true
All,7323,500.04,408032.02,0.62,nh,fvc,4,sit_height,false
white,2466,475.86,372554.99,0.69,nh,fvc,4,sit_height,false
black,1828,515.33,438291.02,0.48,nh,fvc,4,sit_height,false
asian,198,425.74,303030.67,0.66,nh,fvc,4,sit_height,false
hispanic,2489,520.71,434665.72,0.54,nh,fvc,4,sit_height,false
other,342,485.22,369060.94,0.63,nh,fvc,4,sit_height,false
All,7323,498.56,405445.63,0.62,nh,fvc,5,sit_height,true
white,2466,447.36,334623.59,0.72,nh,fvc,5,sit_height,true
black,1828,511.82,430796.34,0.49,nh,fvc,5,sit_height,true
asian,198,526.27,431145.87,0.51,nh,fvc,5,sit_height,true
hispanic,2489,542.19,464075.40,0.51,nh,fvc,5,sit_height,true
other,342,463.42,339035.99,0.66,nh,fvc,5,sit_height,true
All,3860,510.32,423665.76,0.60,nh3,fvc,4,sit_height,false
white,1293,475.05,374805.94,0.70,nh3,fvc,4,sit_height,false
black,1120,525.18,449595.08,0.48,nh3,fvc,4,sit_height,false
hispanic,1259,536.19,457996.83,0.51,nh3,fvc,4,sit_height,false
other,188,491.15,375325.78,0.62,nh3,fvc,4,sit_height,false
All,3860,501.42,409516.21,0.62,nh3,fvc,5,sit_height,true
white,1293,449.03,336568.70,0.73,nh3,fvc,5,sit_height,true
black,1120,514.13,434858.11,0.49,nh3,fvc,5,sit_height,true
hispanic,1259,549.01,470930.04,0.50,nh3,fvc,5,sit_height,true
other,188,467.42,348974.72,0.65,nh3,fvc,5,sit_height,true
All,3463,644.48,671525.49,0.36,nh4,fvc,4,sit_height,false
white,1173,552.29,502669.66,0.56,nh4,fvc,4,sit_height,false
black,708,923.14,1231620.85,-0.54,nh4,fvc,4,sit_height,false
asian,198,687.36,753113.00,0.15,nh4,fvc,4,sit_height,false
hispanic,1230,570.10,506482.20,0.47,nh4,fvc,4,sit_height,false
other,154,604.53,596001.40,0.37,nh4,fvc,4,sit_height,false
All,3463,619.96,609539.44,0.42,nh4,fvc,5,sit_height,true
white,1173,765.53,873740.55,0.23,nh4,fvc,5,sit_height,true
black,708,639.25,628831.31,0.22,nh4,fvc,5,sit_height,true
asian,198,516.09,433214.29,0.51,nh4,fvc,5,sit_height,true
hispanic,1230,495.40,394163.77,0.58,nh4,fvc,5,sit_height,true
other,154,550.93,455370.14,0.52,nh4,fvc,5,sit_height,true
All,46958,417.32,299173.81,0.66,ukb_val,fvc,5,waist_circ,false
white,44562,408.94,288157.24,0.67,ukb_val,fvc,5,waist_circ,false
black,609,636.86,584645.64,0.10,ukb_val,fvc,5,waist_circ,false
asian,1051,614.16,556626.48,0.15,ukb_val,fvc,5,waist_circ,false
other,736,462.44,362333.16,0.59,ukb_val,fvc,5,waist_circ,false
All,46958,406.76,285094.57,0.67,ukb_val,fvc,6,waist_circ,true
white,44562,406.95,285517.25,0.67,ukb_val,fvc,6,waist_circ,true
black,609,384.57,247430.98,0.62,ukb_val,fvc,6,waist_circ,true
asian,1051,384.18,254334.03,0.61,ukb_val,fvc,6,waist_circ,true
other,736,445.76,334592.93,0.62,ukb_val,fvc,6,waist_circ,true
All,7323,497.82,404283.14,0.62,nh,fvc,5,waist_circ,false
white,2466,487.15,388190.02,0.68,nh,fvc,5,waist_circ,false
black,1828,473.50,378810.11,0.55,nh,fvc,5,waist_circ,false
asian,198,433.30,304189.13,0.66,nh,fvc,5,waist_circ,false
hispanic,2489,532.59,449278.91,0.53,nh,fvc,5,waist_circ,false
other,342,488.90,386957.12,0.61,nh,fvc,5,waist_circ,false
All,7323,532.58,455318.87,0.57,nh,fvc,6,waist_circ,true
white,2466,452.64,341358.17,0.72,nh,fvc,6,waist_circ,true
black,1828,525.56,450625.24,0.46,nh,fvc,6,waist_circ,true
asian,198,485.94,391746.65,0.56,nh,fvc,6,waist_circ,true
hispanic,2489,626.02,584943.55,0.38,nh,fvc,6,waist_circ,true
other,342,493.55,395548.40,0.60,nh,fvc,6,waist_circ,true
All,3860,496.78,398659.31,0.63,nh3,fvc,5,waist_circ,false
white,1293,468.23,360372.79,0.71,nh3,fvc,5,waist_circ,false
black,1120,489.95,399566.91,0.54,nh3,fvc,5,waist_circ,false
hispanic,1259,531.79,437020.61,0.53,nh3,fvc,5,waist_circ,false
other,188,499.38,399675.62,0.59,nh3,fvc,5,waist_circ,false
All,3860,517.76,426090.62,0.60,nh3,fvc,6,waist_circ,true
white,1293,439.97,319842.87,0.74,nh3,fvc,6,waist_circ,true
black,1120,513.31,423279.61,0.51,nh3,fvc,6,waist_circ,true
hispanic,1259,607.99,546597.17,0.42,nh3,fvc,6,waist_circ,true
other,188,475.14,366563.64,0.63,nh3,fvc,6,waist_circ,true
All,3463,601.26,598657.28,0.43,nh4,fvc,5,waist_circ,false
white,1173,507.48,436265.67,0.62,nh4,fvc,5,waist_circ,false
black,708,895.26,1135856.21,-0.42,nh4,fvc,5,waist_circ,false
asian,198,730.69,792313.10,0.11,nh4,fvc,5,waist_circ,false
hispanic,1230,496.48,408869.46,0.57,nh4,fvc,5,waist_circ,false
other,154,634.32,632707.21,0.33,nh4,fvc,5,waist_circ,false
All,3463,560.99,501854.67,0.52,nh4,fvc,6,waist_circ,true
white,1173,630.82,607675.93,0.47,nh4,fvc,6,waist_circ,true
black,708,565.49,504601.21,0.37,nh4,fvc,6,waist_circ,true
asian,198,511.97,406936.14,0.54,nh4,fvc,6,waist_circ,true
hispanic,1230,501.73,417523.58,0.56,nh4,fvc,6,waist_circ,true
other,154,544.71,478791.05,0.49,nh4,fvc,6,waist_circ,true
All,46958,412.30,292053.88,0.67,ukb_val,fvc,6,immigrant,false
white,44562,409.57,288637.12,0.66,ukb_val,fvc,6,immigrant,false
black,609,496.29,384629.63,0.41,ukb_val,fvc,6,immigrant,false
asian,1051,463.62,363128.56,0.45,ukb_val,fvc,6,immigrant,false
other,736,435.31,320830.55,0.64,ukb_val,fvc,6,immigrant,false
All,46958,406.37,284594.66,0.68,ukb_val,fvc,7,immigrant,true
white,44562,406.68,285115.24,0.67,ukb_val,fvc,7,immigrant,true
black,609,382.39,242193.18,0.63,ukb_val,fvc,7,immigrant,true
asian,1051,384.30,255857.17,0.61,ukb_val,fvc,7,immigrant,true
other,736,438.84,329197.21,0.63,ukb_val,fvc,7,immigrant,true
All,7323,541.60,485337.33,0.54,nh,fvc,6,immigrant,false
white,2466,472.74,372158.72,0.69,nh,fvc,6,immigrant,false
black,1828,481.60,391371.30,0.53,nh,fvc,6,immigrant,false
asian,198,412.74,280985.22,0.68,nh,fvc,6,immigrant,false
hispanic,2489,669.73,691277.20,0.27,nh,fvc,6,immigrant,false
other,342,500.82,423190.38,0.57,nh,fvc,6,immigrant,false
All,7323,525.63,450839.07,0.58,nh,fvc,7,immigrant,true
white,2466,450.03,334980.25,0.72,nh,fvc,7,immigrant,true
black,1828,486.47,399664.23,0.52,nh,fvc,7,immigrant,true
