group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
All,1007,441.65,420.79,463.68,324867.12,294344.02,358908.39,0.64,0.59,0.68,nh_val,fvc,4,height,True,xgboost
white,399,434.76,397.80,471.40,323103.74,273427.60,381149.37,0.68,0.61,0.74,nh_val,fvc,4,height,True,xgboost
black,222,456.26,402.99,504.89,358755.10,278431.44,444126.45,0.39,0.23,0.52,nh_val,fvc,4,height,True,xgboost
asian,26,436.71,318.77,557.27,285141.05,154061.61,432095.87,0.13,-0.70,0.64,nh_val,fvc,4,height,True,xgboost
hispanic,315,419.34,385.86,454.19,282627.75,238607.01,329217.45,0.66,0.60,0.72,nh_val,fvc,4,height,True,xgboost
other,45,575.36,471.73,683.79,460105.46,316108.81,618723.00,0.40,0.11,0.60,nh_val,fvc,4,height,True,xgboost
All,144198,479.49,477.40,481.60,389614.01,385774.09,393034.38,0.54,0.54,0.54,ukb,fvc,4,height,True,xgboost
white,136520,476.93,474.69,479.02,385866.17,382094.45,389736.70,0.54,0.53,0.54,ukb,fvc,4,height,True,xgboost
black,1963,465.25,448.81,482.06,360835.13,335354.82,387916.07,0.41,0.36,0.46,ukb,fvc,4,height,True,xgboost
asian,3389,540.83,527.00,555.48,472639.31,446258.30,500111.96,0.23,0.18,0.28,ukb,fvc,4,height,True,xgboost
other,2326,552.38,535.47,570.61,513214.77,481106.91,547089.60,0.36,0.31,0.41,ukb,fvc,4,height,True,xgboost
All,1569,268.52,255.78,281.14,139937.61,126076.34,155073.15,0.85,0.83,0.87,nh3,fvc,4,height,True,xgboost
white,697,253.77,235.06,272.90,129131.79,108319.26,151723.63,0.87,0.84,0.89,nh3,fvc,4,height,True,xgboost
black,367,291.22,260.56,320.47,170475.91,131118.78,220405.41,0.80,0.74,0.85,nh3,fvc,4,height,True,xgboost
hispanic,420,262.32,240.25,286.16,123980.48,104330.08,146264.25,0.84,0.81,0.87,nh3,fvc,4,height,True,xgboost
other,85,323.63,268.36,382.11,175059.63,126895.67,230018.14,0.75,0.61,0.85,nh3,fvc,4,height,True,xgboost
All,1785,271.41,259.52,283.37,147767.14,132721.31,163363.72,0.84,0.82,0.86,nh4,fvc,4,height,True,xgboost
white,633,269.45,249.07,290.98,151046.74,122566.02,182696.49,0.86,0.83,0.89,nh4,fvc,4,height,True,xgboost
black,372,286.25,258.30,316.88,162353.35,127136.97,202984.69,0.74,0.66,0.80,nh4,fvc,4,height,True,xgboost
asian,88,246.44,198.03,300.29,117142.64,72477.47,169780.71,0.84,0.74,0.91,nh4,fvc,4,height,True,xgboost
hispanic,629,256.62,238.81,274.99,129348.70,108256.82,152716.47,0.84,0.81,0.87,nh4,fvc,4,height,True,xgboost
other,63,379.23,301.75,459.57,245709.94,151088.36,359479.69,0.65,0.47,0.80,nh4,fvc,4,height,True,xgboost
All,1007,424.82,404.01,446.10,301512.58,273579.69,333487.20,0.66,0.62,0.70,nh_val,fvc,5,sit_height,True,xgboost
white,399,421.82,386.19,459.08,305737.62,256649.31,358088.50,0.70,0.64,0.75,nh_val,fvc,5,sit_height,True,xgboost
black,222,426.53,380.74,475.56,306138.06,237472.26,387963.99,0.48,0.33,0.60,nh_val,fvc,5,sit_height,True,xgboost
asian,26,386.28,282.92,503.60,228884.14,130489.09,345357.23,0.32,-0.26,0.66,nh_val,fvc,5,sit_height,True,xgboost
hispanic,315,417.07,383.01,451.82,284364.97,242062.22,331204.61,0.66,0.60,0.72,nh_val,fvc,5,sit_height,True,xgboost
other,45,516.07,422.38,616.45,379129.47,268293.20,511487.73,0.51,0.28,0.67,nh_val,fvc,5,sit_height,True,xgboost
All,144198,493.93,491.69,496.02,413571.39,409759.94,417025.64,0.51,0.51,0.52,ukb,fvc,5,sit_height,True,xgboost
white,136520,493.78,491.57,496.02,413961.62,409975.94,418245.43,0.50,0.50,0.51,ukb,fvc,5,sit_height,True,xgboost
black,1963,458.54,442.18,474.83,354074.35,328231.17,380439.25,0.42,0.37,0.47,ukb,fvc,5,sit_height,True,xgboost
