group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
All,471,455.36,337482.20,0.63,nh3_val,fvc,4,Height,True
white,209,464.25,369268.02,0.61,nh3_val,fvc,4,Height,True
black,110,473.55,316026.19,0.62,nh3_val,fvc,4,Height,True
hispanic,126,400.39,264571.08,0.66,nh3_val,fvc,4,Height,True
other,26,573.41,526087.09,0.19,nh3_val,fvc,4,Height,True
All,144198,526.04,465964.47,0.45,ukb,fvc,4,Height,True
white,136520,525.95,466308.83,0.44,ukb,fvc,4,Height,True
black,1963,512.59,436772.16,0.29,ukb,fvc,4,Height,True
asian,3389,512.04,428961.70,0.30,ukb,fvc,4,Height,True
other,2326,562.55,524302.32,0.35,ukb,fvc,4,Height,True
All,3354,355.90,254536.11,0.73,nh,fvc,4,Height,True
white,1330,357.21,270244.88,0.74,nh,fvc,4,Height,True
black,739,364.67,266274.52,0.64,nh,fvc,4,Height,True
asian,88,505.99,387838.42,0.49,nh,fvc,4,Height,True
hispanic,1049,332.59,213994.52,0.74,nh,fvc,4,Height,True
other,148,376.35,262847.96,0.65,nh,fvc,4,Height,True
All,1785,470.24,371351.07,0.60,nh4,fvc,4,Height,True
white,633,500.45,424443.75,0.60,nh4,fvc,4,Height,True
black,372,495.28,415244.22,0.34,nh4,fvc,4,Height,True
asian,88,505.99,387838.42,0.49,nh4,fvc,4,Height,True
hispanic,629,417.42,290708.54,0.65,nh4,fvc,4,Height,True
other,63,496.22,360832.67,0.51,nh4,fvc,4,Height,True
All,471,522.69,431917.90,0.52,nh3_val,fvc,3,Height,False
white,209,525.16,443428.08,0.53,nh3_val,fvc,3,Height,False
black,110,627.53,573017.28,0.32,nh3_val,fvc,3,Height,False
hispanic,126,414.79,277365.64,0.65,nh3_val,fvc,3,Height,False
other,26,582.14,491418.80,0.24,nh3_val,fvc,3,Height,False
All,144198,534.76,484928.01,0.43,ukb,fvc,3,Height,False
white,136520,523.05,465535.64,0.44,ukb,fvc,3,Height,False
black,1963,831.47,1000011.03,-0.64,ukb,fvc,3,Height,False
asian,3389,801.17,914331.67,-0.49,ukb,fvc,3,Height,False
other,2326,583.62,562782.79,0.30,ukb,fvc,3,Height,False
All,3354,409.41,333208.81,0.65,nh,fvc,3,Height,False
white,1330,408.90,347057.40,0.67,nh,fvc,3,Height,False
black,739,491.13,458085.74,0.39,nh,fvc,3,Height,False
asian,88,502.02,427827.32,0.44,nh,fvc,3,Height,False
hispanic,1049,349.10,230501.81,0.72,nh,fvc,3,Height,False
other,148,378.27,256928.74,0.66,nh,fvc,3,Height,False
All,1785,529.47,481781.83,0.49,nh4,fvc,3,Height,False
white,633,567.40,549814.47,0.49,nh4,fvc,3,Height,False
black,372,652.20,692382.78,-0.10,nh4,fvc,3,Height,False
asian,88,502.02,427827.32,0.44,nh4,fvc,3,Height,False
hispanic,629,429.28,310199.84,0.62,nh4,fvc,3,Height,False
other,63,462.27,343128.62,0.54,nh4,fvc,3,Height,False
All,471,445.70,333457.28,0.63,nh3_val,fvc,5,Sit Height,True
white,209,450.52,351256.51,0.63,nh3_val,fvc,5,Sit Height,True
black,110,443.71,316958.29,0.62,nh3_val,fvc,5,Sit Height,True
hispanic,126,419.68,298023.57,0.62,nh3_val,fvc,5,Sit Height,True
other,26,541.42,431899.40,0.33,nh3_val,fvc,5,Sit Height,True
All,144198,520.72,453120.93,0.47,ukb,fvc,5,Sit Height,True
white,136520,519.89,452218.92,0.46,ukb,fvc,5,Sit Height,True
