group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
All,43260,410.44,407.44,413.77,288329.66,283456.83,293487.76,0.66,0.66,0.67,ukb_val,fvc,4,height,True,xgboost
white,40956,409.86,406.62,413.02,287303.30,282280.10,292127.82,0.66,0.65,0.66,ukb_val,fvc,4,height,True,xgboost
black,589,427.33,399.54,456.68,322116.75,272717.18,380948.29,0.47,0.38,0.54,ukb_val,fvc,4,height,True,xgboost
asian,1017,393.36,372.88,415.08,276740.65,236254.26,333255.65,0.54,0.49,0.58,ukb_val,fvc,4,height,True,xgboost
other,698,451.76,425.66,478.65,335404.91,296288.83,378846.75,0.57,0.51,0.63,ukb_val,fvc,4,height,True,xgboost
All,3354,477.16,464.89,489.27,368176.44,350562.68,386197.48,0.61,0.58,0.63,nh,fvc,4,height,True,xgboost
white,1330,458.71,439.14,477.56,341817.34,313883.69,370674.67,0.67,0.64,0.70,nh,fvc,4,height,True,xgboost
black,739,492.00,462.10,521.47,401020.38,356522.69,448500.42,0.46,0.39,0.52,nh,fvc,4,height,True,xgboost
asian,88,510.82,432.56,599.69,406149.67,296179.14,532623.89,0.46,0.29,0.58,nh,fvc,4,height,True,xgboost
hispanic,1049,491.86,469.54,514.41,382886.02,351990.41,414845.16,0.53,0.48,0.57,nh,fvc,4,height,True,xgboost
other,148,451.45,393.69,512.14,325508.53,254428.62,404748.04,0.56,0.44,0.65,nh,fvc,4,height,True,xgboost
All,1569,491.63,472.92,511.09,390152.09,363713.67,419091.67,0.59,0.55,0.62,nh3,fvc,4,height,True,xgboost
white,697,462.71,435.89,490.23,354558.18,314895.26,393898.75,0.64,0.60,0.69,nh3,fvc,4,height,True,xgboost
black,367,517.03,477.89,555.67,430698.38,370453.95,494803.71,0.49,0.40,0.58,nh3,fvc,4,height,True,xgboost
hispanic,420,520.20,483.04,556.07,415882.81,366368.53,469700.73,0.47,0.39,0.54,nh3,fvc,4,height,True,xgboost
other,85,474.15,390.91,557.67,374759.31,265133.16,481637.24,0.48,0.28,0.63,nh3,fvc,4,height,True,xgboost
All,1785,464.84,448.07,481.67,349739.67,325887.40,374091.74,0.63,0.60,0.65,nh4,fvc,4,height,True,xgboost
white,633,453.93,426.77,482.52,327725.16,290709.04,370448.81,0.69,0.65,0.73,nh4,fvc,4,height,True,xgboost
black,372,466.39,427.48,507.87,370208.51,310373.92,435013.73,0.41,0.29,0.50,nh4,fvc,4,height,True,xgboost
asian,88,510.82,432.56,599.69,406149.67,296179.14,532623.89,0.46,0.29,0.58,nh4,fvc,4,height,True,xgboost
hispanic,629,472.44,443.66,502.41,360386.63,324694.01,400228.75,0.56,0.51,0.61,nh4,fvc,4,height,True,xgboost
other,63,420.04,350.53,492.11,259435.97,181130.09,341327.27,0.64,0.51,0.74,nh4,fvc,4,height,True,xgboost
All,43260,410.69,407.55,413.88,288892.99,283971.83,294159.68,0.66,0.66,0.67,ukb_val,fvc,5,sit_height,True,xgboost
white,40956,410.53,407.25,413.76,288379.04,283316.67,293279.36,0.66,0.65,0.66,ukb_val,fvc,5,sit_height,True,xgboost
black,589,430.87,403.05,462.06,324305.18,277130.73,378811.00,0.46,0.38,0.54,ukb_val,fvc,5,sit_height,True,xgboost
asian,1017,381.79,360.30,401.85,261300.50,219955.19,321064.70,0.56,0.51,0.61,ukb_val,fvc,5,sit_height,True,xgboost
other,698,440.96,415.05,468.11,327506.85,289285.67,371108.78,0.58,0.52,0.63,ukb_val,fvc,5,sit_height,True,xgboost
All,3354,462.92,451.11,474.49,345308.06,328973.93,362135.57,0.63,0.61,0.65,nh,fvc,5,sit_height,True,xgboost
white,1330,430.63,412.76,448.16,302629.88,278770.02,328559.12,0.71,0.68,0.73,nh,fvc,5,sit_height,True,xgboost
black,739,462.02,433.86,489.38,354713.35,313038.21,396242.53,0.52,0.46,0.58,nh,fvc,5,sit_height,True,xgboost
asian,88,480.96,404.34,565.23,376272.16,268017.00,504561.47,0.50,0.35,0.61,nh,fvc,5,sit_height,True,xgboost
hispanic,1049,502.95,480.67,523.56,390748.00,361330.81,419876.11,0.52,0.47,0.56,nh,fvc,5,sit_height,True,xgboost
